SFTGCODE,SFTGNAME,YEAR,CNSIMR,XXXCIMR
AFG,Afghanistan,1955,198.9,2.0103097994
AFG,Afghanistan,1956,198.3,2.0458157053
AFG,Afghanistan,1957,197.6,2.0671548117
AFG,Afghanistan,1958,197.0,2.1923205342
AFG,Afghanistan,1959,196.4,2.1384154642
AFG,Afghanistan,1960,195.7,1.9933791698
AFG,Afghanistan,1961,195.0,1.6517615176
AFG,Afghanistan,1962,194.4,1.6783802452
AFG,Afghanistan,1963,193.7,1.77497824
AFG,Afghanistan,1964,193.1,1.7924983753
AFG,Afghanistan,1965,192.4,1.7308505375
AFG,Afghanistan,1966,191.7,1.8182163008
AFG,Afghanistan,1967,191.1,1.9165496489
AFG,Afghanistan,1968,190.4,1.9025828046
AFG,Afghanistan,1969,189.8,1.8993993994
AFG,Afghanistan,1970,189.1,1.9564407656
AFG,Afghanistan,1971,188.4,2.0247152375
AFG,Afghanistan,1972,187.8,2.1237416582
AFG,Afghanistan,1973,187.1,2.1882201556
AFG,Afghanistan,1974,186.4,2.2583146544
AFG,Afghanistan,1975,185.7,2.2979644868
AFG,Afghanistan,1976,185.0,2.2196497121
AFG,Afghanistan,1977,184.3,2.2727328771
AFG,Afghanistan,1978,187.9,2.4787598945
AFG,Afghanistan,1979,191.5,2.6392335263
AFG,Afghanistan,1980,191.2,2.7921139102
AFG,Afghanistan,1981,190.9,2.9466049383
AFG,Afghanistan,1982,190.7,3.1155951311
AFG,Afghanistan,1983,190.4,3.237779478
AFG,Afghanistan,1984,187.3,3.2889630345
AFG,Afghanistan,1985,184.2,3.3106857194
AFG,Afghanistan,1986,181.1,3.4254916793
AFG,Afghanistan,1987,178.1,3.4621963071
AFG,Afghanistan,1988,174.6,3.504968383
AFG,Afghanistan,1989,171.1,3.6624933119
AFG,Afghanistan,1990,167.7,3.7273333333
AFG,Afghanistan,1991,164.4,3.6897867565
AFG,Afghanistan,1992,162.5,3.9296081277
AFG,Afghanistan,1993,160.5,3.9384200196
AFG,Afghanistan,1994,158.6,3.9707133917
AFG,Afghanistan,1995,156.8,4.0399484536
AFG,Afghanistan,1996,154.9,4.0800737521
AFG,Afghanistan,1997,152.8,4.2951096121
AFG,Afghanistan,1998,150.8,4.4679211735
AFG,Afghanistan,1999,148.8,4.5677875019
AFG,Afghanistan,2000,146.8,4.5532112938
AFG,Afghanistan,2001,144.8,4.7295001633
AFG,Afghanistan,2002,143.0,4.8567062818
AFG,Afghanistan,2003,141.3,4.9964639321
AFG,Afghanistan,2004,139.6,5.0874635569
AFG,Afghanistan,2005,137.3,5.1377245509
AFG,Afghanistan,2006,135.0,5.4212851406
AFG,Afghanistan,2007,132.7,5.4014242116
AFG,Afghanistan,2008,130.5,5.3867106892
AFG,Afghanistan,2009,128.3,5.4775928297
AFG,Afghanistan,2010,126.2,5.5688437776
AFG,Afghanistan,2011,123.9,5.644191344
AFG,Afghanistan,2012,121.6,5.7453944261
AFG,Afghanistan,2013,119.4,5.8548663888
AFG,Afghanistan,2014,117.2,5.9765485598
ALB,Albania,1955,165.7,1.6750391671
ALB,Albania,1956,157.3,1.6234650707
ALB,Albania,1957,148.9,1.5579497908
ALB,Albania,1958,140.5,1.564162493
ALB,Albania,1959,132.2,1.4391505581
ALB,Albania,1960,123.8,1.2606060606
ALB,Albania,1961,120.3,1.0189701897
ALB,Albania,1962,141.5,1.2212916595
ALB,Albania,1963,141.2,1.2935086353
ALB,Albania,1964,128.8,1.1959892303
ALB,Albania,1965,139.2,1.2517429047
ALB,Albania,1966,144.9,1.3740458015
ALB,Albania,1967,150.7,1.5110330993
ALB,Albania,1968,156.4,1.562671729
ALB,Albania,1969,162.2,1.6231231231
ALB,Albania,1970,167.9,1.7372995344
ALB,Albania,1971,163.0,1.7513432194
ALB,Albania,1972,143.6,1.6243637598
ALB,Albania,1973,138.6,1.6214540563
ALB,Albania,1974,133.6,1.6189495366
ALB,Albania,1975,128.6,1.5916599641
ALB,Albania,1976,131.7,1.5796545106
ALB,Albania,1977,126.5,1.5601997411
ALB,Albania,1978,113.7,1.4994722955
ALB,Albania,1979,120.2,1.6566032534
ALB,Albania,1980,100.6,1.4697334794
ALB,Albania,1981,99.3,1.5316358025
ALB,Albania,1982,82.1,1.341883833
ALB,Albania,1983,82.7,1.4054237864
ALB,Albania,1984,65.7,1.1542716656
ALB,Albania,1985,61.7,1.1095533387
ALB,Albania,1986,66.6,1.258698941
ALB,Albania,1987,59.1,1.1486880466
ALB,Albania,1988,54.9,1.1010739737
ALB,Albania,1989,46.8,1.0005350455
ALB,Albania,1990,44.3,0.984
ALB,Albania,1991,50.7,1.1369248036
ALB,Albania,1992,53.2,1.2873730044
ALB,Albania,1993,54.3,1.33218842
ALB,Albania,1994,60.3,1.5093867334
ALB,Albania,1995,50.5,1.3015463918
ALB,Albania,1996,43.3,1.139470565
ALB,Albania,1997,38.2,1.074480045
ALB,Albania,1998,27.9,0.8273818343
ALB,Albania,1999,22.6,0.693689544
ALB,Albania,2000,22.6,0.7018305926
ALB,Albania,2001,23.9,0.7798105194
ALB,Albania,2002,18.8,0.636672326
ALB,Albania,2003,17.1,0.6060820368
ALB,Albania,2004,15.0,0.5466472303
ALB,Albania,2005,14.7,0.5516467066
ALB,Albania,2006,13.8,0.5534136546
ALB,Albania,2007,12.2,0.4976602238
ALB,Albania,2008,13.1,0.5414775072
ALB,Albania,2009,14.1,0.6009389671
ALB,Albania,2010,15.1,0.6668137688
ALB,Albania,2011,14.6,0.6656036446
ALB,Albania,2012,14.1,0.6669815777
ALB,Albania,2013,13.7,0.6692816867
ALB,Albania,2014,13.2,0.6724445577
ALG,Algeria,1963,137.5,1.2593339136
ALG,Algeria,1964,133.8,1.2425030174
ALG,Algeria,1965,130.2,1.1713219089
ALG,Algeria,1966,126.6,1.2005120668
ALG,Algeria,1967,123.0,1.2335005015
ALG,Algeria,1968,119.4,1.1925863016
ALG,Algeria,1969,115.7,1.1585585586
ALG,Algeria,1970,112.1,1.1600620797
