wbcode,pitfcode,name,year,eu,nato,natopfp,osce,oecd,coe,comnw,franc,geneva,gattwto,apec,asean,seato,oas,mercosur,opec,arablg,oau,ecowas,iccpr,iccpr1,achr,achpr,icj,oic,colbrit,colfrnc,colespn,colport,colbelg,empotto,empruss,empaush,empussr,caplat,disrisk,pitfreg,pitfreg2,sftpybeg,sftpyend,dosreg
AFG,AFG,Afghanistan,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1958,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1959,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1962,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1965,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1968,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1969,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1974,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1976,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1977,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1983,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1984,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
AFG,AFG,Afghanistan,1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.28,8,NE,SA,1919,9999,South & Central Asia
