SFTGCODE,YEAR,CNSIMR,XXXCIMR,"SFTPUHVL (ETH,REV,REG,GEN)","SFTPUHV3 (ETH,REV,REG) ","SFTPUHV4 (ETH,REV,GEN)",,
AFG ,1955,198.9,2.010309799,0,0,0,,
AFG ,1956,198.3,2.051531457,0,0,0,,
AFG ,1957,197.6,2.067154812,0,0,0,,
AFG ,1958,197,2.1669967,0,0,0,,
AFG ,1959,196.4,2.147888865,0,0,0,,
AFG ,1960,195.7,1.99337917,0,0,0,,
AFG ,1961,195,1.640715037,0,0,0,,
AFG ,1962,194.4,1.675053856,0,0,0,,
AFG ,1963,193.7,1.72082075,0,0,0,,
AFG ,1964,193.1,1.707526311,0,0,0,,
AFG ,1965,192.4,1.715878183,0,0,0,,
AFG ,1966,191.7,1.754655685,0,0,0,,
AFG ,1967,191.1,1.856046625,0,0,0,,
AFG ,1968,190.4,1.851704186,0,0,0,,
AFG ,1969,189.8,1.883935663,0,0,0,,
AFG ,1970,189.1,1.943371018,0,0,0,,
AFG ,1971,188.4,2.002444338,0,0,0,,
AFG ,1972,187.8,2.123741658,0,0,0,,
AFG ,1973,187.1,2.188220156,0,0,0,,
AFG ,1974,186.4,2.258314654,0,0,0,,
AFG ,1975,185.7,2.297964487,0,0,0,,
AFG ,1976,185,2.201689672,0,0,0,,
AFG ,1977,184.3,2.272732877,0,0,0,,
AFG ,1978,187.9,2.478759895,4,4,4,,
AFG ,1979,191.5,2.639233526,8,8,8,,
AFG ,1980,191.2,2.79211391,12,12,12,,
AFG ,1981,190.9,2.946604938,16,16,16,,
AFG ,1982,190.7,3.115595131,20,20,20,,
AFG ,1983,190.4,3.237779478,24,24,24,,
AFG ,1984,187.3,3.288963035,28.5,28,28.5,,
AFG ,1985,184.2,3.310983282,33,32,33,,
AFG ,1986,181.1,3.437191651,37,36,37,,
AFG ,1987,178.1,3.484546166,41,40,41,,
AFG ,1988,174.6,3.517324738,45,44,45,,
AFG ,1989,171.1,3.662493312,49,48,49,,
AFG ,1990,167.7,3.727333333,53,52,53,,
AFG ,1991,164.4,3.704755465,57,56,57,,
AFG ,1992,162.5,3.929608128,61,60,61,,
AFG ,1993,160.5,3.93842002,61,60,61,,
AFG ,1994,158.6,3.970713392,61,60,61,,
