"sftgcode","year","aut.casename","aut.startdate","aut.enddate","aut.spell","aut.duration","aut.fail","aut.fail.subsregime","aut.fail.type","aut.fail.violent","aut.regimetype","aut.party","aut.personal","aut.military","aut.monarch"
"CUB",1953,"Cuba 52-59",1952-03-10,1959-01-01,7,1,0,0,0,0,"personal",0,1,0,0
"CUB",1954,"Cuba 52-59",1952-03-10,1959-01-01,7,2,0,0,0,0,"personal",0,1,0,0
"CUB",1955,"Cuba 52-59",1952-03-10,1959-01-01,7,3,0,0,0,0,"personal",0,1,0,0
"CUB",1956,"Cuba 52-59",1952-03-10,1959-01-01,7,4,0,0,0,0,"personal",0,1,0,0
"CUB",1957,"Cuba 52-59",1952-03-10,1959-01-01,7,5,0,0,0,0,"personal",0,1,0,0
"CUB",1958,"Cuba 52-59",1952-03-10,1959-01-01,7,6,0,0,0,0,"personal",0,1,0,0
"CUB",1959,"Cuba 52-59",1952-03-10,1959-01-01,7,7,1,2,6,4,"personal",0,1,0,0
"CUB",1960,"Cuba 59-NA",1959-01-01,2010-12-31,51,1,0,0,0,0,"party-personal",1,0,0,0
"CUB",1961,"Cuba 59-NA",1959-01-01,2010-12-31,51,2,0,0,0,0,"party-personal",1,0,0,0
"CUB",1962,"Cuba 59-NA",1959-01-01,2010-12-31,51,3,0,0,0,0,"party-personal",1,0,0,0
"CUB",1963,"Cuba 59-NA",1959-01-01,2010-12-31,51,4,0,0,0,0,"party-personal",1,0,0,0
"CUB",1964,"Cuba 59-NA",1959-01-01,2010-12-31,51,5,0,0,0,0,"party-personal",1,0,0,0
"CUB",1965,"Cuba 59-NA",1959-01-01,2010-12-31,51,6,0,0,0,0,"party-personal",1,0,0,0
"CUB",1966,"Cuba 59-NA",1959-01-01,2010-12-31,51,7,0,0,0,0,"party-personal",1,0,0,0
"CUB",1967,"Cuba 59-NA",1959-01-01,2010-12-31,51,8,0,0,0,0,"party-personal",1,0,0,0
"CUB",1968,"Cuba 59-NA",1959-01-01,2010-12-31,51,9,0,0,0,0,"party-personal",1,0,0,0
"CUB",1969,"Cuba 59-NA",1959-01-01,2010-12-31,51,10,0,0,0,0,"party-personal",1,0,0,0
"CUB",1970,"Cuba 59-NA",1959-01-01,2010-12-31,51,11,0,0,0,0,"party-personal",1,0,0,0
"CUB",1971,"Cuba 59-NA",1959-01-01,2010-12-31,51,12,0,0,0,0,"party-personal",1,0,0,0
"CUB",1972,"Cuba 59-NA",1959-01-01,2010-12-31,51,13,0,0,0,0,"party-personal",1,0,0,0
"CUB",1973,"Cuba 59-NA",1959-01-01,2010-12-31,51,14,0,0,0,0,"party-personal",1,0,0,0
"CUB",1974,"Cuba 59-NA",1959-01-01,2010-12-31,51,15,0,0,0,0,"party-personal",1,0,0,0
"CUB",1975,"Cuba 59-NA",1959-01-01,2010-12-31,51,16,0,0,0,0,"party-personal",1,0,0,0
"CUB",1976,"Cuba 59-NA",1959-01-01,2010-12-31,51,17,0,0,0,0,"party-personal",1,0,0,0
"CUB",1977,"Cuba 59-NA",1959-01-01,2010-12-31,51,18,0,0,0,0,"party-personal",1,0,0,0
"CUB",1978,"Cuba 59-NA",1959-01-01,2010-12-31,51,19,0,0,0,0,"party-personal",1,0,0,0
"CUB",1979,"Cuba 59-NA",1959-01-01,2010-12-31,51,20,0,0,0,0,"party-personal",1,0,0,0
"CUB",1980,"Cuba 59-NA",1959-01-01,2010-12-31,51,21,0,0,0,0,"party-personal",1,0,0,0
"CUB",1981,"Cuba 59-NA",1959-01-01,2010-12-31,51,22,0,0,0,0,"party-personal",1,0,0,0
"CUB",1982,"Cuba 59-NA",1959-01-01,2010-12-31,51,23,0,0,0,0,"party-personal",1,0,0,0
"CUB",1983,"Cuba 59-NA",1959-01-01,2010-12-31,51,24,0,0,0,0,"party-personal",1,0,0,0
"CUB",1984,"Cuba 59-NA",1959-01-01,2010-12-31,51,25,0,0,0,0,"party-personal",1,0,0,0
"CUB",1985,"Cuba 59-NA",1959-01-01,2010-12-31,51,26,0,0,0,0,"party-personal",1,0,0,0
"CUB",1986,"Cuba 59-NA",1959-01-01,2010-12-31,51,27,0,0,0,0,"party-personal",1,0,0,0
"CUB",1987,"Cuba 59-NA",1959-01-01,2010-12-31,51,28,0,0,0,0,"party-personal",1,0,0,0
"CUB",1988,"Cuba 59-NA",1959-01-01,2010-12-31,51,29,0,0,0,0,"party-personal",1,0,0,0
"CUB",1989,"Cuba 59-NA",1959-01-01,2010-12-31,51,30,0,0,0,0,"party-personal",1,0,0,0
"CUB",1990,"Cuba 59-NA",1959-01-01,2010-12-31,51,31,0,0,0,0,"party-personal",1,0,0,0
"CUB",1991,"Cuba 59-NA",1959-01-01,2010-12-31,51,32,0,0,0,0,"party-personal",1,0,0,0
"CUB",1992,"Cuba 59-NA",1959-01-01,2010-12-31,51,33,0,0,0,0,"party-personal",1,0,0,0
"CUB",1993,"Cuba 59-NA",1959-01-01,2010-12-31,51,34,0,0,0,0,"party-personal",1,0,0,0
"CUB",1994,"Cuba 59-NA",1959-01-01,2010-12-31,51,35,0,0,0,0,"party-personal",1,0,0,0
"CUB",1995,"Cuba 59-NA",1959-01-01,2010-12-31,51,36,0,0,0,0,"party-personal",1,0,0,0
"CUB",1996,"Cuba 59-NA",1959-01-01,2010-12-31,51,37,0,0,0,0,"party-personal",1,0,0,0
"CUB",1997,"Cuba 59-NA",1959-01-01,2010-12-31,51,38,0,0,0,0,"party-personal",1,0,0,0
"CUB",1998,"Cuba 59-NA",1959-01-01,2010-12-31,51,39,0,0,0,0,"party-personal",1,0,0,0
"CUB",1999,"Cuba 59-NA",1959-01-01,2010-12-31,51,40,0,0,0,0,"party-personal",1,0,0,0
"CUB",2000,"Cuba 59-NA",1959-01-01,2010-12-31,51,41,0,0,0,0,"party-personal",1,0,0,0
"CUB",2001,"Cuba 59-NA",1959-01-01,2010-12-31,51,42,0,0,0,0,"party-personal",1,0,0,0
"CUB",2002,"Cuba 59-NA",1959-01-01,2010-12-31,51,43,0,0,0,0,"party-personal",1,0,0,0
"CUB",2003,"Cuba 59-NA",1959-01-01,2010-12-31,51,44,0,0,0,0,"party-personal",1,0,0,0
"CUB",2004,"Cuba 59-NA",1959-01-01,2010-12-31,51,45,0,0,0,0,"party-personal",1,0,0,0
"CUB",2005,"Cuba 59-NA",1959-01-01,2010-12-31,51,46,0,0,0,0,"party-personal",1,0,0,0
"CUB",2006,"Cuba 59-NA",1959-01-01,2010-12-31,51,47,0,0,0,0,"party-personal",1,0,0,0
"CUB",2007,"Cuba 59-NA",1959-01-01,2010-12-31,51,48,0,0,0,0,"party-personal",1,0,0,0
"CUB",2008,"Cuba 59-NA",1959-01-01,2010-12-31,51,49,0,0,0,0,"party-personal",1,0,0,0
"CUB",2009,"Cuba 59-NA",1959-01-01,2010-12-31,51,50,0,0,0,0,"party-personal",1,0,0,0
"CUB",2010,"Cuba 59-NA",1959-01-01,2010-12-31,51,51,0,0,0,0,"party-personal",1,0,0,0
"HAI",1946,"Haiti 41-46",1941-06-05,1946-01-11,5,5,1,1,4,2,"personal",0,1,0,0
"HAI",1951,"Haiti 50-56",1950-05-10,1956-12-12,6,1,0,0,0,0,"personal",0,1,0,0
"HAI",1952,"Haiti 50-56",1950-05-10,1956-12-12,6,2,0,0,0,0,"personal",0,1,0,0
"HAI",1953,"Haiti 50-56",1950-05-10,1956-12-12,6,3,0,0,0,0,"personal",0,1,0,0
"HAI",1954,"Haiti 50-56",1950-05-10,1956-12-12,6,4,0,0,0,0,"personal",0,1,0,0
"HAI",1955,"Haiti 50-56",1950-05-10,1956-12-12,6,5,0,0,0,0,"personal",0,1,0,0
"HAI",1956,"Haiti 50-56",1950-05-10,1956-12-12,6,6,1,2,4,2,"personal",0,1,0,0
"HAI",1958,"Haiti 57-86",1957-06-14,1986-02-07,29,1,0,0,0,0,"personal",0,1,0,0
"HAI",1959,"Haiti 57-86",1957-06-14,1986-02-07,29,2,0,0,0,0,"personal",0,1,0,0
"HAI",1960,"Haiti 57-86",1957-06-14,1986-02-07,29,3,0,0,0,0,"personal",0,1,0,0
"HAI",1961,"Haiti 57-86",1957-06-14,1986-02-07,29,4,0,0,0,0,"personal",0,1,0,0
"HAI",1962,"Haiti 57-86",1957-06-14,1986-02-07,29,5,0,0,0,0,"personal",0,1,0,0
"HAI",1963,"Haiti 57-86",1957-06-14,1986-02-07,29,6,0,0,0,0,"personal",0,1,0,0
"HAI",1964,"Haiti 57-86",1957-06-14,1986-02-07,29,7,0,0,0,0,"personal",0,1,0,0
"HAI",1965,"Haiti 57-86",1957-06-14,1986-02-07,29,8,0,0,0,0,"personal",0,1,0,0
"HAI",1966,"Haiti 57-86",1957-06-14,1986-02-07,29,9,0,0,0,0,"personal",0,1,0,0
"HAI",1967,"Haiti 57-86",1957-06-14,1986-02-07,29,10,0,0,0,0,"personal",0,1,0,0
"HAI",1968,"Haiti 57-86",1957-06-14,1986-02-07,29,11,0,0,0,0,"personal",0,1,0,0
"HAI",1969,"Haiti 57-86",1957-06-14,1986-02-07,29,12,0,0,0,0,"personal",0,1,0,0
"HAI",1970,"Haiti 57-86",1957-06-14,1986-02-07,29,13,0,0,0,0,"personal",0,1,0,0
"HAI",1971,"Haiti 57-86",1957-06-14,1986-02-07,29,14,0,0,0,0,"personal",0,1,0,0
"HAI",1972,"Haiti 57-86",1957-06-14,1986-02-07,29,15,0,0,0,0,"personal",0,1,0,0
"HAI",1973,"Haiti 57-86",1957-06-14,1986-02-07,29,16,0,0,0,0,"personal",0,1,0,0
"HAI",1974,"Haiti 57-86",1957-06-14,1986-02-07,29,17,0,0,0,0,"personal",0,1,0,0
