"year","cir.physint","cir.disap","cir.kill","cir.polpris","cir.tort","cir.newempinx","cir.assn","cir.formov","cir.dommov","cir.speech","cir.elecsd","cir.newrelfre","cir.worker","cir.wecon","cir.wopol","cir.wosoc","cir.injud","sftgcode"
1981,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,"AFG"
1982,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,"AFG"
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AFG"
1984,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"AFG"
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AFG"
1986,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,"AFG"
1987,0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,0,"AFG"
1988,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,"AFG"
1989,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,"AFG"
1990,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,"AFG"
1991,1,0,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,"AFG"
1992,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1993,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1994,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1995,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1996,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,"AFG"
1997,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,"AFG"
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AFG"
1999,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,"AFG"
2000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"AFG"
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AFG"
2002,3,1,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,"AFG"
2003,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"AFG"
2004,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"AFG"
2005,4,2,1,1,0,2,1,0,0,0,1,0,0,0,2,NA,0,"AFG"
2006,4,2,1,1,0,3,1,0,1,0,1,0,0,0,2,NA,0,"AFG"
2007,4,2,1,1,0,4,1,1,1,0,1,0,0,0,3,1,0,"AFG"
2008,3,2,0,1,0,3,1,1,1,0,0,0,0,0,2,NA,0,"AFG"
2009,4,2,1,1,0,1,0,0,0,0,1,0,0,0,2,NA,0,"AFG"
2010,3,2,0,1,0,2,1,0,0,0,1,0,0,0,2,NA,0,"AFG"
2011,4,2,0,2,0,4,1,0,0,1,1,0,1,0,2,NA,0,"AFG"
1981,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1982,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1983,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1984,1,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,"ALB"
1985,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1986,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1987,NA,2,-999,0,1,1,0,0,0,1,0,0,0,1,2,1,0,"ALB"
1988,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1989,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1990,3,2,1,0,0,2,0,0,0,1,1,0,0,1,2,1,1,"ALB"
1991,4,2,1,0,1,10,0,2,2,1,1,2,2,1,1,-999,2,"ALB"
1992,6,2,2,1,1,9,1,2,2,1,1,1,1,1,2,1,1,"ALB"
1993,6,2,2,1,1,8,0,2,2,1,1,1,1,1,2,1,1,"ALB"
1994,7,2,2,2,1,12,1,2,2,1,2,2,2,1,2,-999,2,"ALB"
1995,4,2,0,1,1,11,1,2,2,1,2,1,2,1,2,1,1,"ALB"
1996,4,2,1,1,0,9,1,2,2,1,0,1,2,1,2,1,1,"ALB"
1997,4,2,1,1,0,10,1,2,2,1,1,1,2,1,2,1,1,"ALB"
1998,5,2,1,1,1,12,2,2,2,1,2,2,1,1,2,1,1,"ALB"
1999,5,2,1,2,0,12,2,1,2,1,2,2,2,1,2,1,1,"ALB"
2000,3,2,1,0,0,9,1,2,2,1,1,1,1,1,2,1,1,"ALB"
2001,6,2,2,2,0,11,2,1,2,1,2,1,2,1,2,1,1,"ALB"
2002,6,2,2,2,0,12,2,2,2,1,2,2,1,1,2,1,1,"ALB"
2003,5,2,1,2,0,10,1,2,2,1,2,1,1,2,2,-999,1,"ALB"
2004,6,2,1,2,1,11,1,2,2,1,2,2,1,1,2,2,1,"ALB"
2005,7,2,2,2,1,10,2,2,2,1,1,1,1,1,2,NA,1,"ALB"
2006,6,2,2,2,0,11,2,2,2,1,1,2,1,1,2,NA,0,"ALB"
