"sftgcode","year","cmm.succ","cmm.fail","cmm.plot","cmm.rumr"
"AFG",1946,0,0,0,0
"AFG",1947,0,0,0,0
"AFG",1948,0,0,0,0
"AFG",1949,0,0,0,0
"AFG",1950,0,0,0,0
"AFG",1951,0,0,0,0
"AFG",1952,0,0,0,0
"AFG",1953,0,0,0,0
"AFG",1954,0,0,0,0
"AFG",1955,0,0,0,0
"AFG",1956,0,0,0,0
"AFG",1957,0,0,0,0
"AFG",1958,0,0,0,0
"AFG",1959,0,0,0,0
"AFG",1960,0,0,0,0
"AFG",1961,0,0,0,0
"AFG",1962,0,0,0,0
"AFG",1963,0,0,0,0
"AFG",1964,0,0,0,0
"AFG",1965,0,0,0,0
"AFG",1966,0,0,0,0
"AFG",1967,0,0,0,0
"AFG",1968,0,0,0,0
"AFG",1969,0,0,0,0
"AFG",1970,0,0,0,0
"AFG",1971,0,0,0,0
"AFG",1972,0,0,0,0
"AFG",1973,1,3,0,0
"AFG",1974,0,0,0,0
"AFG",1975,0,0,0,0
"AFG",1976,0,0,0,0
"AFG",1977,0,0,0,0
"AFG",1978,1,0,0,0
"AFG",1979,2,1,0,0
"AFG",1980,0,0,0,0
"AFG",1981,0,0,0,0
"AFG",1982,0,0,0,0
"AFG",1983,0,0,0,0
"AFG",1984,0,0,0,0
"AFG",1985,0,0,0,0
"AFG",1986,0,0,0,0
"AFG",1987,0,0,0,1
"AFG",1988,0,0,0,0
"AFG",1989,0,0,0,0
"AFG",1990,0,1,0,0
"AFG",1991,0,0,0,0
"AFG",1992,1,0,0,0
"AFG",1993,0,0,0,0
"AFG",1994,0,0,0,0
"AFG",1995,0,0,0,0
"AFG",1996,0,0,0,0
"AFG",1997,0,0,0,0
"AFG",1998,0,0,0,0
"AFG",1999,0,0,0,0
"AFG",2000,0,0,0,0
"AFG",2001,0,0,0,0
"AFG",2002,0,1,0,0
"AFG",2003,0,0,0,0
"AFG",2004,0,0,0,0
"AFG",2005,0,0,0,0
"AFG",2006,0,0,0,0
"AFG",2007,0,0,0,0
"AFG",2008,0,0,0,0
"AFG",2009,0,0,0,0
"AFG",2010,0,0,0,0
"AFG",2011,0,0,0,0
"AFG",2012,0,0,0,0
"AFG",2013,0,0,0,0
"ALB",1946,0,0,0,0
"ALB",1947,0,0,0,0
"ALB",1948,0,0,0,0
"ALB",1949,0,0,0,0
"ALB",1950,0,0,0,0
"ALB",1951,0,0,0,0
"ALB",1952,0,0,0,0
"ALB",1953,0,0,0,0
"ALB",1954,0,0,0,0
"ALB",1955,0,0,0,0
"ALB",1956,0,0,0,0
"ALB",1957,0,0,0,0
"ALB",1958,0,0,0,0
"ALB",1959,0,0,0,0
"ALB",1960,0,0,0,0
"ALB",1961,0,0,0,0
"ALB",1962,0,0,0,0
"ALB",1963,0,0,0,0
"ALB",1964,0,0,0,0
"ALB",1965,0,0,0,0
"ALB",1966,0,0,0,0
"ALB",1967,0,0,0,0
"ALB",1968,0,0,0,0
"ALB",1969,0,0,0,0
"ALB",1970,0,0,0,0
"ALB",1971,0,0,0,0
"ALB",1972,0,0,0,0
"ALB",1973,0,0,0,0
"ALB",1974,0,0,0,0
"ALB",1975,0,0,0,0
"ALB",1976,0,0,0,0
"ALB",1977,0,0,0,0
"ALB",1978,0,0,0,0
"ALB",1979,0,0,0,0
"ALB",1980,0,0,0,0
"ALB",1981,0,0,0,0
"ALB",1982,0,0,0,0
"ALB",1983,0,0,0,0
"ALB",1984,0,0,0,0
"ALB",1985,0,0,0,0
"ALB",1986,0,0,0,0
"ALB",1987,0,0,0,0
"ALB",1988,0,0,0,0
"ALB",1989,0,0,0,0
"ALB",1990,0,0,0,0
"ALB",1991,0,0,0,0
"ALB",1992,0,0,0,0
"ALB",1993,0,0,0,0
"ALB",1994,0,0,0,0
"ALB",1995,0,0,0,0
"ALB",1996,0,0,0,0
"ALB",1997,0,0,0,0
"ALB",1998,0,1,0,0
"ALB",1999,0,0,0,0
"ALB",2000,0,0,0,0
"ALB",2001,0,0,0,0
"ALB",2002,0,0,0,0
"ALB",2003,0,0,0,0
"ALB",2004,0,0,0,0
"ALB",2005,0,0,0,0
"ALB",2006,0,0,0,0
"ALB",2007,0,0,0,0
"ALB",2008,0,0,0,0
"ALB",2009,0,0,0,0
"ALB",2010,0,0,0,0
"ALB",2011,0,0,0,0
"ALB",2012,0,0,0,0
"ALB",2013,0,0,0,0
"ALG",1962,0,0,0,0
"ALG",1963,0,0,0,0
"ALG",1964,0,0,0,0
"ALG",1965,1,0,0,0
"ALG",1966,0,0,0,0
"ALG",1967,0,1,0,0
"ALG",1968,0,0,0,0
"ALG",1969,0,0,0,0
"ALG",1970,0,0,0,0
"ALG",1971,0,0,0,0
"ALG",1972,0,0,0,0
"ALG",1973,0,0,0,0
"ALG",1974,0,0,0,0
"ALG",1975,0,0,0,0
"ALG",1976,0,0,0,0
"ALG",1977,0,0,0,0
"ALG",1978,0,0,0,0
"ALG",1979,0,0,0,0
"ALG",1980,0,0,0,0
"ALG",1981,0,0,0,0
"ALG",1982,0,0,0,0
"ALG",1983,0,0,0,0
"ALG",1984,0,0,0,0
"ALG",1985,0,0,0,0
"ALG",1986,0,0,0,0
"ALG",1987,0,0,0,0
"ALG",1988,0,0,0,0
"ALG",1989,0,0,0,0
"ALG",1990,0,0,0,0
"ALG",1991,0,0,0,0
"ALG",1992,0,0,0,0
"ALG",1993,0,0,0,0
"ALG",1994,0,0,0,0
"ALG",1995,0,0,0,0
"ALG",1996,0,0,0,0
"ALG",1997,0,0,0,0
"ALG",1998,0,0,0,0
"ALG",1999,0,0,0,0
"ALG",2000,0,0,0,0
"ALG",2001,0,0,0,0
"ALG",2002,0,0,0,0
"ALG",2003,0,0,0,0
"ALG",2004,0,0,0,0
"ALG",2005,0,0,0,0
"ALG",2006,0,0,0,0
"ALG",2007,0,0,0,0
"ALG",2008,0,0,0,0
"ALG",2009,0,0,0,0
"ALG",2010,0,0,0,0
"ALG",2011,0,0,0,0
"ALG",2012,0,0,0,0
"ALG",2013,0,0,0,0
"ANG",1975,0,0,0,0
"ANG",1976,0,0,0,0
"ANG",1977,0,1,0,0
"ANG",1978,0,0,0,0
"ANG",1979,0,0,0,0
"ANG",1980,0,0,0,0
"ANG",1981,0,0,0,0
"ANG",1982,0,0,0,0
"ANG",1983,0,0,0,0
"ANG",1984,0,0,0,0
"ANG",1985,0,0,0,0
"ANG",1986,0,0,0,0
"ANG",1987,0,0,0,0
"ANG",1988,0,0,0,0
"ANG",1989,0,0,0,0
"ANG",1990,0,0,0,0
"ANG",1991,0,0,0,0
"ANG",1992,0,0,0,0
"ANG",1993,0,0,0,0
"ANG",1994,0,0,0,0
"ANG",1995,0,0,0,0
