"sftgcode","year","eth.frac","eth.largest","eth.ratio","rel.frac","rel.largest","rel.ratio"
"AFG",1945,0.553,0.604,2.16,0.219,0.875,7
"AFG",1946,0.555,0.603,2.16,0.22,0.874,6.96
"AFG",1947,0.557,0.601,2.15,0.221,0.874,6.92
"AFG",1948,0.559,0.599,2.15,0.221,0.873,6.89
"AFG",1949,0.561,0.597,2.14,0.222,0.873,6.85
"AFG",1950,0.563,0.596,2.14,0.223,0.872,6.81
"AFG",1951,0.565,0.594,2.13,0.224,0.871,6.77
"AFG",1952,0.567,0.592,2.13,0.225,0.871,6.73
"AFG",1953,0.57,0.59,2.12,0.227,0.87,6.7
"AFG",1954,0.572,0.588,2.12,0.228,0.869,6.66
"AFG",1955,0.574,0.586,2.11,0.23,0.868,6.62
"AFG",1956,0.576,0.584,2.11,0.232,0.867,6.58
"AFG",1957,0.579,0.582,2.1,0.233,0.866,6.55
"AFG",1958,0.581,0.58,2.1,0.235,0.865,6.51
"AFG",1959,0.583,0.578,2.09,0.237,0.863,6.47
"AFG",1960,0.586,0.576,2.08,0.238,0.862,6.44
"AFG",1961,0.588,0.573,2.08,0.24,0.861,6.4
"AFG",1962,0.591,0.571,2.07,0.242,0.86,6.37
"AFG",1963,0.593,0.569,2.07,0.244,0.859,6.33
"AFG",1964,0.596,0.567,2.06,0.245,0.858,6.29
"AFG",1965,0.598,0.564,2.05,0.247,0.857,6.26
"AFG",1966,0.601,0.562,2.05,0.249,0.856,6.22
"AFG",1967,0.606,0.558,2.04,0.251,0.855,6.19
"AFG",1968,0.61,0.554,2.03,0.252,0.853,6.15
"AFG",1969,0.615,0.55,2.03,0.254,0.852,6.12
"AFG",1970,0.619,0.547,2.02,0.256,0.851,6.08
"AFG",1971,0.624,0.543,2.01,0.258,0.85,6.05
"AFG",1972,0.628,0.539,2,0.259,0.849,6.01
"AFG",1973,0.632,0.535,2,0.261,0.848,5.98
"AFG",1974,0.637,0.531,1.99,0.263,0.846,5.95
"AFG",1975,0.641,0.527,1.98,0.265,0.845,5.91
"AFG",1976,0.645,0.523,1.98,0.267,0.844,5.88
"AFG",1977,0.649,0.519,1.97,0.269,0.843,5.84
"AFG",1978,0.653,0.516,1.96,0.27,0.842,5.81
"AFG",1979,0.658,0.512,1.95,0.272,0.84,5.78
"AFG",1980,0.662,0.508,1.95,0.274,0.839,5.74
"AFG",1981,0.665,0.504,1.94,0.276,0.838,5.71
"AFG",1982,0.669,0.5,1.93,0.278,0.837,5.68
"AFG",1983,0.673,0.496,1.92,0.28,0.836,5.65
"AFG",1984,0.677,0.492,1.91,0.282,0.834,5.61
"AFG",1985,0.681,0.488,1.91,0.284,0.833,5.58
"AFG",1986,0.685,0.484,1.9,0.285,0.832,5.55
"AFG",1987,0.688,0.48,1.89,0.287,0.83,5.52
"AFG",1988,0.692,0.477,1.88,0.289,0.829,5.48
"AFG",1989,0.695,0.473,1.87,0.291,0.828,5.45
"AFG",1990,0.699,0.469,1.86,0.293,0.827,5.42
"AFG",1991,0.702,0.465,1.86,0.295,0.825,5.39
"AFG",1992,0.706,0.461,1.85,0.297,0.824,5.36
"AFG",1993,0.709,0.457,1.84,0.299,0.823,5.32
"AFG",1994,0.712,0.453,1.83,0.301,0.821,5.29
"AFG",1995,0.715,0.45,1.82,0.303,0.82,5.26
"AFG",1996,0.719,0.446,1.81,0.305,0.819,5.23
"AFG",1997,0.722,0.442,1.8,0.307,0.817,5.2
"AFG",1998,0.725,0.438,1.79,0.309,0.816,5.17
"AFG",1999,0.728,0.434,1.78,0.311,0.814,5.14
"AFG",2000,0.731,0.43,1.78,0.313,0.813,5.11
"AFG",2001,0.734,0.427,1.77,0.315,0.812,5.08
"AFG",2002,0.736,0.423,1.76,0.317,0.81,5.05
"AFG",2003,0.739,0.419,1.75,0.319,0.809,5.02
"AFG",2004,0.742,0.415,1.74,0.321,0.807,4.99
"AFG",2005,0.744,0.411,1.73,0.323,0.806,4.96
"AFG",2006,0.747,0.408,1.72,0.325,0.805,4.93
"AFG",2007,0.749,0.404,1.71,0.327,0.803,4.9
"AFG",2008,0.752,0.4,1.7,0.329,0.802,4.87
"AFG",2009,0.754,0.396,1.69,0.331,0.8,4.84
"AFG",2010,0.757,0.393,1.68,0.333,0.799,4.81
"AFG",2011,0.759,0.389,1.67,0.335,0.797,4.78
"AFG",2012,0.761,0.385,1.66,0.337,0.796,4.75
"AFG",2013,0.763,0.382,1.65,0.339,0.794,4.72
"ALB",1945,0.064,0.967,46.12,0.495,0.664,2.86
"ALB",1946,0.065,0.967,45.82,0.494,0.665,2.88
"ALB",1947,0.065,0.967,45.53,0.493,0.666,2.89
"ALB",1948,0.065,0.966,45.24,0.492,0.667,2.91
"ALB",1949,0.066,0.966,44.95,0.491,0.668,2.93
"ALB",1950,0.066,0.966,44.66,0.49,0.669,2.95
"ALB",1951,0.066,0.966,44.37,0.489,0.67,2.96
