"sftgcode","year","ddr.type2","ddr.collect","ddr.nheads","ddr.nmil","ddr.nhead","ddr.npost","ddr.ndate","ddr.eheads","ddr.ageeh","ddr.emil","ddr.royal","ddr.headdiff","ddr.ehead","ddr.epost","ddr.edate","ddr.tenure08","ddr.comm","ddr.ecens08","ddr.edeath","ddr.flageh","ddr.democracy","ddr.assconfid","ddr.poppreselec","ddr.regime","ddr.tt","ddr.ttd","ddr.tta","ddr.flagc","ddr.flagdem","ddr.flagreg","ddr.agedem","ddr.agereg","ddr.stra"
"AFG",1946,0,0,1,0,"Mohammad Zahir Shah","king","11.08.33",0,14,0,1,0,"Mohammad Zahir Shah","king","11.08.33",20,0,1,1,1,0,0,0,5,0,0,0,1,1,1,18,18,0
"AFG",1947,0,0,0,0,"Mohammad Zahir Shah","king","",0,15,0,1,0,"Mohammad Zahir Shah","king","",20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,19,19,0
"AFG",1948,0,0,0,0,"Mohammad Zahir Shah","king","",0,16,0,1,0,"Mohammad Zahir Shah","king","",20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,20,20,0
"AFG",1949,0,0,0,0,"Mohammad Zahir Shah","king","",0,17,0,1,0,"Mohammad Zahir Shah","king","",20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,21,21,0
"AFG",1950,0,0,0,0,"Mohammad Zahir Shah","king","",0,18,0,1,0,"Mohammad Zahir Shah","king","",20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,22,22,0
"AFG",1951,0,0,0,0,"Mohammad Zahir Shah","king","",0,19,0,1,0,"Mohammad Zahir Shah","king","",20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,23,23,0
"AFG",1952,0,0,0,0,"Mohammad Zahir Shah","king","",0,20,0,1,0,"Mohammad Zahir Shah","king","",20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,24,24,0
"AFG",1953,0,0,1,0,"Mohammad Zahir Shah","king","",1,1,0,0,1,"Sardar Mohammad Daoud","prime minister","9.20.53",10,0,1,1,1,0,0,0,3,0,0,0,0,0,1,25,1,0
"AFG",1954,0,0,0,0,"Mohammad Zahir Shah","king","",0,2,0,0,1,"Sardar Mohammad Daoud","prime minister","",10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,26,2,0
"AFG",1955,0,0,0,0,"Mohammad Zahir Shah","king","",0,3,0,0,1,"Sardar Mohammad Daoud","prime minister","",10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,27,3,0
"AFG",1956,0,0,0,0,"Mohammad Zahir Shah","king","",0,4,0,0,1,"Sardar Mohammad Daoud","prime minister","",10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,28,4,0
