"sftgcode","year","dis.gcode1","dis.gprop1","dis.pdis1","dis.edis1","dis.gcode2","dis.gprop2","dis.pdis2","dis.edis2","dis.gcode3","dis.gprop3","dis.pdis3","dis.edis3","dis.gcode4","dis.gprop4","dis.pdis4","dis.edis4","dis.gcode5","dis.gprop5","dis.pdis5","dis.edis5","dis.gcode6","dis.gprop6","dis.pdis6","dis.edis6","dis.gcode7","dis.gprop7","dis.pdis7","dis.edis7","dis.gcode8","dis.gprop8","dis.pdis8","dis.edis8","dis.gcode9","dis.gprop9","dis.pdis9","dis.edis9","dis.gcode10","dis.gprop10","dis.pdis10","dis.edis10","dis.gcode11","dis.gprop11","dis.pdis11","dis.edis11","dis.gcode12","dis.gprop12","dis.pdis12","dis.edis12","dis.gcode13","dis.gprop13","dis.pdis13","dis.edis13","dis.gcode14","dis.gprop14","dis.pdis14","dis.edis14","dis.gcode15","dis.gprop15","dis.pdis15","dis.edis15","dis.gcode16","dis.gprop16","dis.pdis16","dis.edis16","dis.gcode17","dis.gprop17","dis.pdis17","dis.edis17","dis.gcode18","dis.gprop18","dis.pdis18","dis.edis18","dis.gcode19","dis.gprop19","dis.pdis19","dis.edis19","dis.gcode20","dis.gprop20","dis.pdis20","dis.edis20"
"AFG",1950,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1951,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1952,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1953,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1954,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1955,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1956,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1957,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1958,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1959,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1960,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1961,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1962,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1963,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1964,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1965,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1966,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1967,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1968,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1969,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1970,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1971,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1972,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1973,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
