"sftgcode","year","elf.ethnic","elf.language","elf.religion"
"AFG",1945,0.77,0.61,0.27
"AFG",1946,0.77,0.61,0.27
"AFG",1947,0.77,0.61,0.27
"AFG",1948,0.77,0.61,0.27
"AFG",1949,0.77,0.61,0.27
"AFG",1950,0.77,0.61,0.27
"AFG",1951,0.77,0.61,0.27
"AFG",1952,0.77,0.61,0.27
"AFG",1953,0.77,0.61,0.27
"AFG",1954,0.77,0.61,0.27
"AFG",1955,0.77,0.61,0.27
"AFG",1956,0.77,0.61,0.27
"AFG",1957,0.77,0.61,0.27
"AFG",1958,0.77,0.61,0.27
"AFG",1959,0.77,0.61,0.27
"AFG",1960,0.77,0.61,0.27
"AFG",1961,0.77,0.61,0.27
"AFG",1962,0.77,0.61,0.27
"AFG",1963,0.77,0.61,0.27
"AFG",1964,0.77,0.61,0.27
"AFG",1965,0.77,0.61,0.27
"AFG",1966,0.77,0.61,0.27
"AFG",1967,0.77,0.61,0.27
"AFG",1968,0.77,0.61,0.27
"AFG",1969,0.77,0.61,0.27
"AFG",1970,0.77,0.61,0.27
"AFG",1971,0.77,0.61,0.27
"AFG",1972,0.77,0.61,0.27
"AFG",1973,0.77,0.61,0.27
"AFG",1974,0.77,0.61,0.27
"AFG",1975,0.77,0.61,0.27
"AFG",1976,0.77,0.61,0.27
"AFG",1977,0.77,0.61,0.27
"AFG",1978,0.77,0.61,0.27
"AFG",1979,0.77,0.61,0.27
"AFG",1980,0.77,0.61,0.27
"AFG",1981,0.77,0.61,0.27
"AFG",1982,0.77,0.61,0.27
"AFG",1983,0.77,0.61,0.27
"AFG",1984,0.77,0.61,0.27
"AFG",1985,0.77,0.61,0.27
"AFG",1986,0.77,0.61,0.27
"AFG",1987,0.77,0.61,0.27
"AFG",1988,0.77,0.61,0.27
"AFG",1989,0.77,0.61,0.27
"AFG",1990,0.77,0.61,0.27
"AFG",1991,0.77,0.61,0.27
"AFG",1992,0.77,0.61,0.27
"AFG",1993,0.77,0.61,0.27
"AFG",1994,0.77,0.61,0.27
"AFG",1995,0.77,0.61,0.27
"AFG",1996,0.77,0.61,0.27
"AFG",1997,0.77,0.61,0.27
"AFG",1998,0.77,0.61,0.27
"AFG",1999,0.77,0.61,0.27
"AFG",2000,0.77,0.61,0.27
"AFG",2001,0.77,0.61,0.27
"AFG",2002,0.77,0.61,0.27
"AFG",2003,0.77,0.61,0.27
"AFG",2004,0.77,0.61,0.27
"AFG",2005,0.77,0.61,0.27
"AFG",2006,0.77,0.61,0.27
"AFG",2007,0.77,0.61,0.27
"AFG",2008,0.77,0.61,0.27
"AFG",2009,0.77,0.61,0.27
"AFG",2010,0.77,0.61,0.27
"AFG",2011,0.77,0.61,0.27
"AFG",2012,0.77,0.61,0.27
"AFG",2013,0.77,0.61,0.27
"ALB",1945,0.22,0.04,0.47
"ALB",1946,0.22,0.04,0.47
"ALB",1947,0.22,0.04,0.47
"ALB",1948,0.22,0.04,0.47
"ALB",1949,0.22,0.04,0.47
"ALB",1950,0.22,0.04,0.47
"ALB",1951,0.22,0.04,0.47
"ALB",1952,0.22,0.04,0.47
"ALB",1953,0.22,0.04,0.47
"ALB",1954,0.22,0.04,0.47
"ALB",1955,0.22,0.04,0.47
"ALB",1956,0.22,0.04,0.47
"ALB",1957,0.22,0.04,0.47
"ALB",1958,0.22,0.04,0.47
"ALB",1959,0.22,0.04,0.47
"ALB",1960,0.22,0.04,0.47
"ALB",1961,0.22,0.04,0.47
"ALB",1962,0.22,0.04,0.47
"ALB",1963,0.22,0.04,0.47
"ALB",1964,0.22,0.04,0.47
"ALB",1965,0.22,0.04,0.47
"ALB",1966,0.22,0.04,0.47
"ALB",1967,0.22,0.04,0.47
"ALB",1968,0.22,0.04,0.47
"ALB",1969,0.22,0.04,0.47
"ALB",1970,0.22,0.04,0.47
"ALB",1971,0.22,0.04,0.47
"ALB",1972,0.22,0.04,0.47
"ALB",1973,0.22,0.04,0.47
"ALB",1974,0.22,0.04,0.47
"ALB",1975,0.22,0.04,0.47
"ALB",1976,0.22,0.04,0.47
"ALB",1977,0.22,0.04,0.47
"ALB",1978,0.22,0.04,0.47
"ALB",1979,0.22,0.04,0.47
"ALB",1980,0.22,0.04,0.47
"ALB",1981,0.22,0.04,0.47
"ALB",1982,0.22,0.04,0.47
"ALB",1983,0.22,0.04,0.47
"ALB",1984,0.22,0.04,0.47
"ALB",1985,0.22,0.04,0.47
"ALB",1986,0.22,0.04,0.47
"ALB",1987,0.22,0.04,0.47
"ALB",1988,0.22,0.04,0.47
"ALB",1989,0.22,0.04,0.47
"ALB",1990,0.22,0.04,0.47
"ALB",1991,0.22,0.04,0.47
"ALB",1992,0.22,0.04,0.47
"ALB",1993,0.22,0.04,0.47
"ALB",1994,0.22,0.04,0.47
"ALB",1995,0.22,0.04,0.47
"ALB",1996,0.22,0.04,0.47
"ALB",1997,0.22,0.04,0.47
"ALB",1998,0.22,0.04,0.47
"ALB",1999,0.22,0.04,0.47
"ALB",2000,0.22,0.04,0.47
"ALB",2001,0.22,0.04,0.47
"ALB",2002,0.22,0.04,0.47
"ALB",2003,0.22,0.04,0.47
"ALB",2004,0.22,0.04,0.47
"ALB",2005,0.22,0.04,0.47
"ALB",2006,0.22,0.04,0.47
"ALB",2007,0.22,0.04,0.47
"ALB",2008,0.22,0.04,0.47
"ALB",2009,0.22,0.04,0.47
"ALB",2010,0.22,0.04,0.47
"ALB",2011,0.22,0.04,0.47
"ALB",2012,0.22,0.04,0.47
"ALB",2013,0.22,0.04,0.47
"ALG",1962,0.34,0.44,0.01
"ALG",1963,0.34,0.44,0.01
"ALG",1964,0.34,0.44,0.01
"ALG",1965,0.34,0.44,0.01
"ALG",1966,0.34,0.44,0.01
"ALG",1967,0.34,0.44,0.01
"ALG",1968,0.34,0.44,0.01
"ALG",1969,0.34,0.44,0.01
"ALG",1970,0.34,0.44,0.01
"ALG",1971,0.34,0.44,0.01
"ALG",1972,0.34,0.44,0.01
"ALG",1973,0.34,0.44,0.01
"ALG",1974,0.34,0.44,0.01
"ALG",1975,0.34,0.44,0.01
"ALG",1976,0.34,0.44,0.01
"ALG",1977,0.34,0.44,0.01
"ALG",1978,0.34,0.44,0.01
"ALG",1979,0.34,0.44,0.01
"ALG",1980,0.34,0.44,0.01
"ALG",1981,0.34,0.44,0.01
"ALG",1982,0.34,0.44,0.01
"ALG",1983,0.34,0.44,0.01
"ALG",1984,0.34,0.44,0.01
"ALG",1985,0.34,0.44,0.01
"ALG",1986,0.34,0.44,0.01
"ALG",1987,0.34,0.44,0.01
"ALG",1988,0.34,0.44,0.01
"ALG",1989,0.34,0.44,0.01
"ALG",1990,0.34,0.44,0.01
"ALG",1991,0.34,0.44,0.01
"ALG",1992,0.34,0.44,0.01
"ALG",1993,0.34,0.44,0.01
"ALG",1994,0.34,0.44,0.01
"ALG",1995,0.34,0.44,0.01
"ALG",1996,0.34,0.44,0.01
"ALG",1997,0.34,0.44,0.01
"ALG",1998,0.34,0.44,0.01
"ALG",1999,0.34,0.44,0.01
"ALG",2000,0.34,0.44,0.01
"ALG",2001,0.34,0.44,0.01
"ALG",2002,0.34,0.44,0.01
"ALG",2003,0.34,0.44,0.01
"ALG",2004,0.34,0.44,0.01
"ALG",2005,0.34,0.44,0.01
"ALG",2006,0.34,0.44,0.01
"ALG",2007,0.34,0.44,0.01
"ALG",2008,0.34,0.44,0.01
"ALG",2009,0.34,0.44,0.01
"ALG",2010,0.34,0.44,0.01
"ALG",2011,0.34,0.44,0.01
"ALG",2012,0.34,0.44,0.01
"ALG",2013,0.34,0.44,0.01
"ANG",1975,0.79,0.79,0.63
"ANG",1976,0.79,0.79,0.63
"ANG",1977,0.79,0.79,0.63
"ANG",1978,0.79,0.79,0.63
"ANG",1979,0.79,0.79,0.63
"ANG",1980,0.79,0.79,0.63
"ANG",1981,0.79,0.79,0.63
"ANG",1982,0.79,0.79,0.63
"ANG",1983,0.79,0.79,0.63
"ANG",1984,0.79,0.79,0.63
"ANG",1985,0.79,0.79,0.63
"ANG",1986,0.79,0.79,0.63
"ANG",1987,0.79,0.79,0.63
"ANG",1988,0.79,0.79,0.63
"ANG",1989,0.79,0.79,0.63
"ANG",1990,0.79,0.79,0.63
"ANG",1991,0.79,0.79,0.63
"ANG",1992,0.79,0.79,0.63
"ANG",1993,0.79,0.79,0.63
"ANG",1994,0.79,0.79,0.63
"ANG",1995,0.79,0.79,0.63
"ANG",1996,0.79,0.79,0.63
"ANG",1997,0.79,0.79,0.63
"ANG",1998,0.79,0.79,0.63
"ANG",1999,0.79,0.79,0.63
"ANG",2000,0.79,0.79,0.63
"ANG",2001,0.79,0.79,0.63
"ANG",2002,0.79,0.79,0.63
"ANG",2003,0.79,0.79,0.63
"ANG",2004,0.79,0.79,0.63
"ANG",2005,0.79,0.79,0.63
"ANG",2006,0.79,0.79,0.63
"ANG",2007,0.79,0.79,0.63
"ANG",2008,0.79,0.79,0.63
"ANG",2009,0.79,0.79,0.63
"ANG",2010,0.79,0.79,0.63
"ANG",2011,0.79,0.79,0.63
"ANG",2012,0.79,0.79,0.63
"ANG",2013,0.79,0.79,0.63
"ARG",1945,0.26,0.06,0.22
"ARG",1946,0.26,0.06,0.22
"ARG",1947,0.26,0.06,0.22
"ARG",1948,0.26,0.06,0.22
"ARG",1949,0.26,0.06,0.22
"ARG",1950,0.26,0.06,0.22
"ARG",1951,0.26,0.06,0.22
"ARG",1952,0.26,0.06,0.22
"ARG",1953,0.26,0.06,0.22
"ARG",1954,0.26,0.06,0.22
"ARG",1955,0.26,0.06,0.22
"ARG",1956,0.26,0.06,0.22
"ARG",1957,0.26,0.06,0.22
"ARG",1958,0.26,0.06,0.22
"ARG",1959,0.26,0.06,0.22
"ARG",1960,0.26,0.06,0.22
"ARG",1961,0.26,0.06,0.22
"ARG",1962,0.26,0.06,0.22
"ARG",1963,0.26,0.06,0.22
"ARG",1964,0.26,0.06,0.22
