"country","sftgcode","forecast.year","mean.p","rf.p","threat.p","harff.p","year","imr.normed.ln","mev.regac.ln","postcw","cou.tries5d","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.durable.ln","gdppcgrow.sr","mev.civtot.ln","ios.iccpr1","wdi.popsize.ln","coup.p","cwar.p","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","dis.l4pop.ln","pitf.p","mkl.ever","pit.sftpuhvl2.10.ln","pol.autoc","elc.eliti","elc.elethc","wdi.trade.ln","reg.afr","mkl.ongoing","countryage.ln","pol.cat.fl1","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","elc.eleth1","elc.eleth2","date"
"Myanmar","MYA",2015,0.13200234400787,0.025,0.0311745955058149,0.339832436517795,2014,0.828365907447505,3.04452243772342,1,0,1,0,0,1.38629436111989,2.77244539416017,1.6094379124341,0,10.8829224213459,0.0494074408083783,0.0644756359992787,1,0,0,0,0,0,0,0,0,0,3.15700042115011,0.0609571323213071,1,3.25809653802148,1,0,1,-1.17505192847049,0,1,4.20469261939097,0,0,1,0,0,1,0,2015-05-27
"Nigeria","NIG",2015,0.123420232802014,0.295,0.0513527795162951,0.0239079188897466,2014,1.32898599077526,2.39789527279837,1,0,1,0,0,2.77258872223978,2.51191512346343,1.6094379124341,0,12.0645974701591,0.0618758028216297,0.0977820855582202,0,0,0,0,0,0,0,1,0,0,1.62924053973028,0.076209531671571,1,2.99573227355399,0,0,0,3.43482208860613,1,1,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
"Sudan","SUD",2015,0.0851627104498739,0.18,0.0629112975930784,0.0125768337565434,2014,1.03059518567848,3.04452243772342,1,1,1,0,0,1.38629436111989,1.84148399925358,1.94591014905531,0,10.5444016814855,0.158315015798372,0.0644304811877728,0,0,0,0,0,0,0,0,0,0,0,0.0196173999306731,1,0,1,1,1,3.246760836685,1,1,4.07753744390572,0,0,0,1,0,1,0,2015-05-27
"Egypt","EGY",2015,0.0535542870512347,0.119,0.0313388464042394,0.0103240147494648,2014,0.133212708187531,2.83321334405622,1,1,1,0,0,0.693147180559945,1.47071452897342,0.693147180559945,1,11.3151618265868,0.0767571014690972,0.0477227924286803,0,0,1,0,0,0,0,0,0,0,0,0.0191612010217105,0,2.70805020110221,1,1,1,3.74418567492321,0,1,4.12713438504509,0,1,0,0,0,1,0,2015-05-27
"Central African Republic","CEN",2015,0.0529452290084252,0.075,0.0442228233310638,0.0396128636942119,2014,1.55479840292926,2.484906649788,1,1,0,0,1,0,1.00519330060218,1.38629436111989,1,8.43737414206265,0.208106128871127,0.0353369682944568,0,0,0,0,0,0,0,0,0,1,0,0.0784788349773373,0,3.3322045101752,0,0,1,3.50948312408253,1,0,4.00733318523247,0,0,0,1,0,1,0,2015-05-27
"South Sudan","SSD",2015,0.0447381416905919,0.083,0.0304599130821724,0.0207545119896034,2014,1.24556330284733,2.94443897916644,1,0,0,0,1,0,2.33549683248457,1.6094379124341,0,9.33221927477156,0.0730551413105678,0.0478223612820271,0,0,0,0,0,0,0,0,0,1,0,0.059707870201304,1,0,0,0,1,4.1111221642277,1,1,1.38629436111989,0,0,0,0,1,0,1,2015-05-27
"Congo-Kinshasa","ZAI",2015,0.0415952192108057,0.044,0.0671563114029573,0.0136293462294598,2014,1.31621754780877,2.484906649788,1,1,1,0,0,2.19722457733622,3.01545806668052,1.94591014905531,1,11.1200854785577,0.143222702933425,0.0746139577682036,0,0,0,0,0,0,0,1,0,0,1.09861228866811,0.0665542612015934,1,3.29583686600433,0,0,0,4.31298277020023,1,1,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
"Afghanistan","AFG",2015,0.0396182202901031,0.03,0.0697273994600596,0.0191272614102496,2014,1.78784323742629,2.94443897916644,1,0,1,0,0,0,1.23854850753011,1.38629436111989,0,10.3271747585159,0.131235169931307,0.0829015683704618,0,0,0,1,0,1,0,0,0,0,0,0.0853380459128212,1,3.68887945411394,1,0,0,4.01473071851829,0,0,4.56434819146784,0,0,0,1,0,0,0,2015-05-27
"Pakistan","PAK",2015,0.0391805399829252,0.014,0.0185479230303747,0.0849936969184008,2014,1.07514248154797,2.77258872223978,1,0,0,1,0,1.94591014905531,2.03434035564953,1.94591014905531,0,12.1125451428124,0.0432259156184266,0.0393672631098573,0,0,0,1,0,0,1,0,0,0,3.17805383034795,0.224573828235389,1,3.58351893845611,0,0,1,3.50097363086704,0,0,4.21950770517611,0,0,0,1,0,1,0,2015-05-27
"Yemen","YEM",2015,0.0374886120543537,0.054,0.0320752933940052,0.0263905427690561,2014,0.943894988419594,3.04452243772342,1,0,0,0,1,0,-0.434271169963122,1.38629436111989,0,10.1026408655374,0.0659257936357992,0.0544780275234809,0,0,1,0,0,0,0,0,0,1,0,0.0890494714572681,0,3.36729582998647,0,0,1,4.40764784895707,0,0,3.2188758248682,0,0,0,0,1,1,0,2015-05-27
"Somalia","SOM",2015,0.0316673404759456,0.044,0.0325011620368464,0.0185008593909905,2014,1.63027462724998,1.79175946922805,1,0,1,0,0,1.09861228866811,-1.21822645031301,1.79175946922805,1,9.2587097809739,0.115497361994634,0.0374219016137317,0,0,0,0,0,0,0,1,0,0,0,0.0700519644386453,1,3.61091791264422,0,0,0,3.86132220932247,1,0,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
