"country","sftgcode","forecast.year","mean.p","rf.p","threat.p","harff.p","year","imr.normed.ln","mev.regac.ln","postcw","cou.tries5d","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.durable.ln","gdppcgrow.sr","mev.civtot.ln","ios.iccpr1","wdi.popsize.ln","coup.p","cwar.p","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","dis.l4pop.ln","pitf.p","mkl.ever","pit.sftpuhvl2.10.ln","pol.autoc","elc.eliti","elc.elethc","wdi.trade.ln","reg.afr","mkl.ongoing","countryage.ln","pol.cat.fl1","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","elc.eleth1","elc.eleth2","date"
"Myanmar","MYA",2014,0.132166184412965,0.027,0.0272440447864012,0.342254508452495,2013,0.810930216216329,3.04452243772342,1,0,1,0,0,1.09861228866811,2.73861286811264,1.6094379124341,0,17.790677700328,0.0489594927797801,0.0683525090071896,1,0,0,0,0,0,0,0,0,0,3.15700042115011,0.0575126767604602,0,3.25809653802148,1,0,1,-1.17505192847049,0,0,4.18965474202643,0,0,1,0,0,1,0,2014-09-08
"Sudan","SUD",2014,0.0762930114208784,0.151,0.0542775388371436,0.0236014954254917,2013,0.963174317773006,2.83321334405622,1,1,1,0,0,1.09861228866811,1.83097542015374,1.94591014905531,0,17.4521569604677,0.152603162387082,0.0640849095290318,0,0,0,0,0,0,0,0,0,0,0,0.0190573737663584,1,0,1,1,1,3.11134067440046,1,1,4.06044301054642,0,0,0,1,0,1,0,2014-09-08
"Central African Republic","CEN",2014,0.0495758568778722,0.057,0.0507501018010844,0.0409774688325324,2013,1.51951320490611,2.39789527279837,1,1,0,0,1,0,-6.00392621905741,1.09861228866811,1,15.3451294210448,0.269294201169498,0.036300703515909,0,0,0,0,0,0,0,0,0,1,0,0.0761737601247161,1,3.17805383034795,0,0,1,3.50948312408253,1,1,3.98898404656427,0,0,0,1,0,1,0,2014-09-08
"Pakistan","PAK",2014,0.0389971236315711,0.021,0.0167855815700862,0.0792057893246272,2013,1.05779029414785,2.70805020110221,1,0,0,1,0,1.79175946922805,1.90312393491194,1.94591014905531,0,19.0203004217946,0.0431110175440926,0.0410177539888579,0,0,0,1,0,0,1,0,0,0,3.17805383034795,0.23406325462587,1,3.52636052461616,0,0,1,3.45205419632018,0,0,4.20469261939097,0,0,0,1,0,1,0,2014-09-08
"South Sudan","SSD",2014,0.0370267328871342,0.054,0.0240659910516651,0.0330142076097375,2013,1.21787570949493,2.94443897916644,1,0,0,0,1,0,4.9395487274549,1.6094379124341,0,16.2399745537537,0.0589074974044252,0.0498715441964541,0,0,0,0,0,0,0,0,0,1,0,0.0583202737657614,1,0,0,0,1,3.95070652687978,1,1,1.09861228866811,0,0,0,0,1,0,1,2014-09-08
"Congo-Kinshasa","ZAI",2014,0.0321770325696026,0.026,0.0577544935182844,0.0127766041905235,2013,1.28370777234479,2.30258509299405,1,1,1,0,0,2.07944154167984,2.91218802187719,1.94591014905531,1,18.0278407575399,0.133814713413271,0.0777374325992387,0,0,0,0,0,0,0,1,0,0,1.09861228866811,0.0700791737256273,1,3.3322045101752,0,0,0,4.16317198659476,1,1,3.98898404656427,0,0,0,1,0,0,0,2014-09-08
"Somalia","SOM",2014,0.031408132204698,0.045,0.033543780207154,0.0156806164069401,2013,1.58514521986506,1.6094379124341,1,0,1,0,0,0.693147180559945,-1.21822645031301,1.79175946922805,1,16.166465059956,0.122592948308593,0.0411465139935349,0,0,0,0,0,0,0,1,0,0,0,0.0721887761368192,1,3.66356164612965,0,0,0,3.86132220932247,1,0,3.98898404656427,0,0,0,1,0,0,0,2014-09-08
"Iraq","IRQ",2014,0.028136567873034,0.012,0.0196772619500448,0.0527324416690572,2013,0.636576829071551,2.89037175789616,1,0,1,0,0,1.38629436111989,2.05225372859664,1.38629436111989,0,17.3245895546409,0.042656559919213,0.0506589910645539,0,0,1,0,0,0,1,0,0,0,3.04452243772342,0.266556390660173,1,3.63758615972639,0,0,1,4.15812674902386,0,0,4.40671924726425,0,0,1,0,0,1,0,2014-09-08
"Mali","MLI",2014,0.0259592949949167,0.009,0.0614196986439415,0.00745818634080874,2013,1.63119940421561,1.79175946922805,1,1,1,0,0,0,1.3158662603498,0.693147180559945,1,16.5434712236853,0.268919972346791,0.0467778829247937,0,0,0,0,0,0,0,1,0,0,0,0.0739488319877518,0,2.19722457733622,0,0,0,4.23419155129192,1,0,3.98898404656427,0,0,0,1,0,0,0,2014-09-08
"Guinea","GUI",2014,0.0251442298106578,0.004,0.0364829071177012,0.0349497823142721,2013,1.02245092770255,2.56494935746154,1,1,1,0,0,0,1.59604792552832,0,1,16.2789542678997,0.15728095406496,0.0371638539977824,0,0,0,0,0,0,1,0,0,0,0,0.11020433775958,1,0,0,0,1,4.41171910174154,1,0,4.02535169073515,0,0,0,1,0,0,1,2014-09-08
"Nigeria","NIG",2014,0.0250236578281808,0.015,0.0390960150556485,0.0209749584288938,2013,1.25276296849537,2.30258509299405,1,0,1,0,0,2.70805020110221,2.50299129323533,1.38629436111989,0,18.9723527491412,0.0552483454359954,0.0983889777668489,0,0,0,0,0,0,0,1,0,0,1.62924053973028,0.0770127525735243,1,2.83321334405622,0,0,0,3.59590475698519,1,1,3.98898404656427,0,0,0,1,0,0,0,2014-09-08
"Afghanistan","AFG",2014,0.0242940520550842,0.008,0.0475967115527942,0.0172854446124583,2013,1.74396880539171,2.89037175789616,1,0,0,0,1,0,1.89640307149374,0,0,17.234930037498,0.0956335751981283,0.0800125808038513,0,0,0,1,0,0,0,0,0,1,0,0.0977577336214701,1,3.68887945411394,0,0,0,3.97905207201572,0,0,4.55387689160054,0,0,0,1,0,0,0,2014-09-08
"Bangladesh","BNG",2014,0.0226331856470569,0.009,0.0298067502118792,0.0290928067292916,2013,0.837247524533702,3.04452243772342,1,0,1,0,0,1.6094379124341,2.39945174734382,0,0,18.8691731698668,0.0420767530672491,0.0872012943877018,0,0,0,1,0,0,1,0,0,0,2.484906649788,0.174069782124164,1,1.38629436111989,0,0,0,3.98588293924108,0,0,3.76120011569356,0,1,0,0,0,0,0,2014-09-08
"Egypt","EGY",2014,0.0221538260201819,0.031,0.0286063461835282,0.00685513187701751,2013,0.131028262406404,2.56494935746154,1,1,1,0,0,0,1.44840394232077,0.693147180559945,1,18.2229171055689,0.0880227825505978,0.0443362696648528,0,0,1,0,0,0,0,0,0,0,0,0.0193438544263038,0,2.39789527279837,1,1,1,3.74418567492321,0,1,4.11087386417331,0,1,0,0,0,1,0,2014-09-08
"Ethiopia","ETI",2014,0.0215463855123307,0.013,0.0259729380276036,0.0256662185093887,2013,1.05431202977153,1.6094379124341,1,0,1,0,0,2.19722457733622,3.11993835762292,0.693147180559945,0,18.3598766385297,0.0559294062218755,0.057451625571577,0,0,0,0,0,1,0,0,0,0,0,0.0520328080711241,1,2.70805020110221,1,0,1,3.827207465985,1,0,7.65633716643018,0,0,0,1,0,0,1,2014-09-08
"India","IND",2014,0.0212892915466349,0.039,0.0146844790960907,0.0101833955438139,2013,0.774727167552368,2.63905732961526,1,0,0,1,0,4.15888308335967,2.08586090109197,2.07944154167984,0,20.9481196018114,0.0208874142434092,0.0638481168496312,0,0,0,1,0,0,0,1,0,0,0,0.0401866492367617,1,3.63758615972639,0,0,0,3.97454887581533,0,0,4.20469261939097,0,0,1,0,0,0,0,2014-09-08
"Rwanda","RWA",2014,0.0186488958475408,0.007,0.0165275034927007,0.0324191840499218,2013,1.07840958135059,3.13549421592915,1,0,1,0,0,2.99573227355399,2.23607247634786,0,0,16.281618446414,0.0371998963832416,0.045554623477987,0,0,0,0,0,0,0,0,0,0,4.40671924726425,0.0569309491974263,1,0,1,0,1,3.87158137710138,1,0,3.95124371858143,0,0,1,0,0,0,1,2014-09-08
"Yemen","YEM",2014,0.0173633445143615,0.014,0.025667823033902,0.0124222105091824,2013,0.924258901523332,2.94443897916644,1,0,1,0,0,0.693147180559945,2.09664110606709,1.09861228866811,0,17.0103961445195,0.0597802875272376,0.0534926763016229,0,0,1,0,0,1,0,0,0,0,0,0.0822116341074487,0,3.29583686600433,0,0,1,4.40764784894897,0,0,3.17805383034795,0,0,0,0,1,1,0,2014-09-08
"Iran","IRN",2014,0.0152964049033842,0.02,0.0150727756363635,0.0108164390737892,2013,0.657520002916794,3.36729582998647,1,0,0,0,0,2.30258509299405,-1.29035507912047,0,0,18.1651065586325,0.0258485209819029,0.0551226147421834,0,0,1,0,0,0,0,0,0,0,2.60638654732571,0.0513057993240498,1,1.38629436111989,1,1,0,3.98373285143102,0,1,6.24027584517077,1,0,0,1,0,0,0,2014-09-08
"Guinea-Bissau","GNB",2014,0.0145746570439411,0.002,0.0319999355847322,0.00972403554709125,2013,1.49065437644413,2.56494935746154,1,1,1,0,0,0.693147180559945,0.546563471535986,0,1,14.3486386230626,0.197642510413395,0.0258637871123567,0,0,0,0,0,1,0,0,0,0,0,0.0688311048088625,0,1.38629436111989,0,0,0,3.89023678602565,1,0,3.68887945411394,0,0,0,1,0,0,0,2014-09-08
