"year","fiw.pr","fiw.cl","fiw.status","sftgcode"
1972,4,5,"PF","AFG"
1973,7,6,"NF","AFG"
1974,7,6,"NF","AFG"
1975,7,6,"NF","AFG"
1976,7,6,"NF","AFG"
1977,6,6,"NF","AFG"
1978,7,7,"NF","AFG"
1979,7,7,"NF","AFG"
1980,7,7,"NF","AFG"
1982,7,7,"NF","AFG"
1983,7,7,"NF","AFG"
1984,7,7,"NF","AFG"
1985,7,7,"NF","AFG"
1986,7,7,"NF","AFG"
1987,7,7,"NF","AFG"
1988,6,6,"NF","AFG"
1989,7,7,"NF","AFG"
1990,7,7,"NF","AFG"
1991,7,7,"NF","AFG"
1992,6,6,"NF","AFG"
1993,7,7,"NF","AFG"
1994,7,7,"NF","AFG"
1995,7,7,"NF","AFG"
1996,7,7,"NF","AFG"
1997,7,7,"NF","AFG"
1998,7,7,"NF","AFG"
1999,7,7,"NF","AFG"
2000,7,7,"NF","AFG"
2001,7,7,"NF","AFG"
2002,6,6,"NF","AFG"
2003,6,6,"NF","AFG"
2004,5,6,"NF","AFG"
2005,5,5,"PF","AFG"
2006,5,5,"PF","AFG"
2007,5,5,"PF","AFG"
2008,5,6,"NF","AFG"
2009,6,6,"NF","AFG"
2010,6,6,"NF","AFG"
2011,6,6,"NF","AFG"
2012,6,6,"NF","AFG"
2013,6,6,"NF","AFG"
1972,7,7,"NF","ALB"
1973,7,7,"NF","ALB"
1974,7,7,"NF","ALB"
1975,7,7,"NF","ALB"
1976,7,7,"NF","ALB"
1977,7,7,"NF","ALB"
1978,7,7,"NF","ALB"
1979,7,7,"NF","ALB"
1980,7,7,"NF","ALB"
1982,7,7,"NF","ALB"
1983,7,7,"NF","ALB"
1984,7,7,"NF","ALB"
1985,7,7,"NF","ALB"
1986,7,7,"NF","ALB"
1987,7,7,"NF","ALB"
1988,7,7,"NF","ALB"
1989,7,7,"NF","ALB"
1990,7,6,"NF","ALB"
1991,4,4,"PF","ALB"
1992,4,3,"PF","ALB"
1993,2,4,"PF","ALB"
1994,3,4,"PF","ALB"
1995,3,4,"PF","ALB"
1996,4,4,"PF","ALB"
1997,4,4,"PF","ALB"
1998,4,5,"PF","ALB"
1999,4,5,"PF","ALB"
2000,4,5,"PF","ALB"
2001,3,4,"PF","ALB"
2002,3,3,"PF","ALB"
2003,3,3,"PF","ALB"
2004,3,3,"PF","ALB"
2005,3,3,"PF","ALB"
2006,3,3,"PF","ALB"
2007,3,3,"PF","ALB"
2008,3,3,"PF","ALB"
2009,3,3,"PF","ALB"
2010,3,3,"PF","ALB"
2011,3,3,"PF","ALB"
2012,3,3,"PF","ALB"
2013,3,3,"PF","ALB"
1972,6,6,"NF","ALG"
1973,6,6,"NF","ALG"
1974,6,6,"NF","ALG"
1975,7,6,"NF","ALG"
1976,6,6,"NF","ALG"
1977,6,6,"NF","ALG"
1978,6,6,"NF","ALG"
1979,6,6,"NF","ALG"
1980,6,6,"NF","ALG"
1982,6,6,"NF","ALG"
1983,6,6,"NF","ALG"
1984,6,6,"NF","ALG"
1985,6,6,"NF","ALG"
1986,6,6,"NF","ALG"
1987,6,6,"NF","ALG"
1988,5,6,"NF","ALG"
1989,6,4,"PF","ALG"
1990,4,4,"PF","ALG"
1991,4,4,"PF","ALG"
1992,7,6,"NF","ALG"
1993,7,6,"NF","ALG"
1994,7,7,"NF","ALG"
1995,6,6,"NF","ALG"
1996,6,6,"NF","ALG"
1997,6,6,"NF","ALG"
1998,6,5,"NF","ALG"
1999,6,5,"NF","ALG"
2000,6,5,"NF","ALG"
2001,6,5,"NF","ALG"
2002,6,5,"NF","ALG"
2003,6,5,"NF","ALG"
2004,6,5,"NF","ALG"
2005,6,5,"NF","ALG"
2006,6,5,"NF","ALG"
2007,6,5,"NF","ALG"
2008,6,5,"NF","ALG"
2009,6,5,"NF","ALG"
2010,6,5,"NF","ALG"
2011,6,5,"NF","ALG"
2012,6,5,"NF","ALG"
2013,6,5,"NF","ALG"
1975,6,6,"NF","ANG"
1976,6,6,"NF","ANG"
1977,7,7,"NF","ANG"
1978,7,7,"NF","ANG"
1979,7,7,"NF","ANG"
1980,7,7,"NF","ANG"
1982,7,7,"NF","ANG"
1983,7,7,"NF","ANG"
1984,7,7,"NF","ANG"
1985,7,7,"NF","ANG"
1986,7,7,"NF","ANG"
1987,7,7,"NF","ANG"
1988,7,7,"NF","ANG"
1989,7,7,"NF","ANG"
1990,7,7,"NF","ANG"
1991,6,4,"PF","ANG"
1992,6,6,"NF","ANG"
1993,7,7,"NF","ANG"
1994,7,7,"NF","ANG"
1995,6,6,"NF","ANG"
1996,6,6,"NF","ANG"
1997,6,6,"NF","ANG"
1998,6,6,"NF","ANG"
1999,6,6,"NF","ANG"
2000,6,6,"NF","ANG"
2001,6,6,"NF","ANG"
2002,6,5,"NF","ANG"
2003,6,5,"NF","ANG"
2004,6,5,"NF","ANG"
2005,6,5,"NF","ANG"
2006,6,5,"NF","ANG"
2007,6,5,"NF","ANG"
2008,6,5,"NF","ANG"
2009,6,5,"NF","ANG"
2010,6,5,"NF","ANG"
2011,6,5,"NF","ANG"
2012,6,5,"NF","ANG"
2013,6,5,"NF","ANG"
1972,6,3,"PF","ARG"
1973,2,2,"F","ARG"
1974,2,4,"PF","ARG"
1975,2,4,"PF","ARG"
1976,6,5,"NF","ARG"
1977,6,6,"NF","ARG"
1978,6,5,"NF","ARG"
1979,6,5,"NF","ARG"
1980,6,5,"NF","ARG"
1982,6,5,"NF","ARG"
1983,3,3,"PF","ARG"
1984,2,2,"F","ARG"
1985,2,2,"F","ARG"
1986,2,1,"F","ARG"
1987,2,1,"F","ARG"
1988,2,1,"F","ARG"
1989,1,2,"F","ARG"
1990,1,3,"F","ARG"
1991,1,3,"F","ARG"
1992,2,3,"F","ARG"
1993,2,3,"F","ARG"
1994,2,3,"F","ARG"
1995,2,3,"F","ARG"
