"sftgcode","year","imf.gdppc"
"AFG",1980,NA
"AFG",1981,NA
"AFG",1982,NA
"AFG",1983,NA
"AFG",1984,NA
"AFG",1985,NA
"AFG",1986,NA
"AFG",1987,NA
"AFG",1988,NA
"AFG",1989,NA
"AFG",1990,NA
"AFG",1991,NA
"AFG",1992,NA
"AFG",1993,NA
"AFG",1994,NA
"AFG",1995,NA
"AFG",1996,NA
"AFG",1997,NA
"AFG",1998,NA
"AFG",1999,NA
"AFG",2000,NA
"AFG",2001,NA
"AFG",2002,183.26
"AFG",2003,198.736
"AFG",2004,200.069
"AFG",2005,223.737
"AFG",2006,235.731
"AFG",2007,267.177
"AFG",2008,277.498
"AFG",2009,334.621
"AFG",2010,362.857
"AFG",2011,386.368
"AFG",2012,440.336
"AFG",2013,456.453
"AFG",2014,463.455
"ALB",1980,322.735
"ALB",1981,341.131
"ALB",1982,351.023
"ALB",1983,354.885
"ALB",1984,361.982
"ALB",1985,356.553
"ALB",1986,376.52
"ALB",1987,373.507
"ALB",1988,368.278
"ALB",1989,404.37
"ALB",1990,363.933
"ALB",1991,262.031
"ALB",1992,243.165
"ALB",1993,266.509
"ALB",1994,291.561
"ALB",1995,317.51
"ALB",1996,346.403
"ALB",1997,308.861
"ALB",1998,336.685
"ALB",1999,382.142
"ALB",2000,407.457
"ALB",2001,439.811
"ALB",2002,458.421
"ALB",2003,484.734
"ALB",2004,512.234
"ALB",2005,541.804
"ALB",2006,571.229
"ALB",2007,604.961
"ALB",2008,650.553
"ALB",2009,672.375
"ALB",2010,697.299
"ALB",2011,715.048
"ALB",2012,726.658
"ALB",2013,736.778
"ALB",2014,752.268
"ALG",1980,2584.784
"ALG",1981,2662.328
"ALG",1982,2832.716
"ALG",1983,2985.683
"ALG",1984,3152.881
"ALG",1985,3329.443
"ALG",1986,3322.784
"ALG",1987,3299.524
"ALG",1988,3236.833
"ALG",1989,3392.201
"ALG",1990,3434.663
"ALG",1991,3393.448
"ALG",1992,3447.743
"ALG",1993,3375.254
"ALG",1994,3344.877
"ALG",1995,3473.578
"ALG",1996,3605.574
"ALG",1997,3645.235
"ALG",1998,3831.051
"ALG",1999,3953.645
"ALG",2000,4103.883
"ALG",2001,4227
"ALG",2002,4463.712
"ALG",2003,4785.099
"ALG",2004,4990.859
"ALG",2005,5285.319
"ALG",2006,5374.35
"ALG",2007,5555.62
"ALG",2008,5686.74
"ALG",2009,5779.561
"ALG",2010,5988.556
"ALG",2011,6157.911
"ALG",2012,6361.253
"ALG",2013,6536.942
"ALG",2014,6806.848
"ANG",1980,338.377
"ANG",1981,323.488
"ANG",1982,323.488
"ANG",1983,337.075
"ANG",1984,357.299
"ANG",1985,369.805
"ANG",1986,380.529
"ANG",1987,396.065
"ANG",1988,420.339
"ANG",1989,420.514
"ANG",1990,406.006
"ANG",1991,410.031
"ANG",1992,386.092
"ANG",1993,293.494
"ANG",1994,297.425
"ANG",1995,342.039
"ANG",1996,410.447
"ANG",1997,433.021
"ANG",1998,433.021
