"sftgcode","year","imr.raw","imr.normed"
"AFG",1955,198.9,2.01
"AFG",1956,198.3,2.05
"AFG",1957,197.6,2.07
"AFG",1958,197,2.17
"AFG",1959,196.4,2.15
"AFG",1960,195.7,1.99
"AFG",1961,195,1.64
"AFG",1962,194.4,1.68
"AFG",1963,193.7,1.72
"AFG",1964,193.1,1.71
"AFG",1965,192.4,1.72
"AFG",1966,191.7,1.75
"AFG",1967,191.1,1.86
"AFG",1968,190.4,1.85
"AFG",1969,189.8,1.88
"AFG",1970,189.1,1.94
"AFG",1971,188.4,2
"AFG",1972,187.8,2.12
"AFG",1973,187.1,2.19
"AFG",1974,186.4,2.26
"AFG",1975,185.7,2.3
"AFG",1976,185,2.2
"AFG",1977,184.3,2.27
"AFG",1978,187.9,2.48
"AFG",1979,191.5,2.64
"AFG",1980,191.2,2.79
"AFG",1981,190.9,2.95
"AFG",1982,190.7,3.12
"AFG",1983,190.4,3.24
"AFG",1984,187.3,3.29
"AFG",1985,184.2,3.31
"AFG",1986,181.1,3.44
"AFG",1987,178.1,3.48
"AFG",1988,174.6,3.52
"AFG",1989,171.1,3.66
"AFG",1990,167.7,3.73
"AFG",1991,164.4,3.7
"AFG",1992,162.5,3.93
"AFG",1993,160.5,3.94
"AFG",1994,158.6,3.97
"AFG",1995,156.8,4.06
"AFG",1996,154.9,4.12
"AFG",1997,152.8,4.4
"AFG",1998,150.8,4.5
"AFG",1999,148.8,4.57
"AFG",2000,146.8,4.55
"AFG",2001,144.8,4.73
"AFG",2002,143,4.86
"AFG",2003,141.3,5
"AFG",2004,139.6,5.09
"AFG",2005,137.3,5.14
"AFG",2006,135,5.42
"AFG",2007,132.7,5.4
"AFG",2008,130.5,5.39
"AFG",2009,128.3,5.48
"AFG",2010,126.2,5.57
"AFG",2011,123.9,5.62
"AFG",2012,121.6,5.72
"ALB",1955,165.7,1.68
"ALB",1956,157.3,1.63
"ALB",1957,148.9,1.56
"ALB",1958,140.5,1.55
"ALB",1959,132.2,1.45
"ALB",1960,123.8,1.26
"ALB",1961,120.3,1.01
"ALB",1962,141.5,1.22
"ALB",1963,141.2,1.25
"ALB",1964,128.8,1.14
"ALB",1965,139.2,1.24
"ALB",1966,144.9,1.33
"ALB",1967,150.7,1.46
"ALB",1968,156.4,1.52
"ALB",1969,162.2,1.61
"ALB",1970,167.9,1.73
"ALB",1971,163,1.73
"ALB",1972,143.6,1.62
"ALB",1973,138.6,1.62
"ALB",1974,133.6,1.62
"ALB",1975,128.6,1.59
"ALB",1976,131.7,1.57
"ALB",1977,126.5,1.56
"ALB",1978,113.7,1.5
"ALB",1979,120.2,1.66
"ALB",1980,100.6,1.47
"ALB",1981,99.3,1.53
"ALB",1982,82.1,1.34
"ALB",1983,82.7,1.41
"ALB",1984,65.7,1.15
"ALB",1985,61.7,1.11
"ALB",1986,66.6,1.26
"ALB",1987,59.1,1.16
"ALB",1988,54.9,1.1
"ALB",1989,46.8,1
"ALB",1990,44.3,0.98
"ALB",1991,50.7,1.14
"ALB",1992,53.2,1.29
"ALB",1993,54.3,1.33
"ALB",1994,60.3,1.51
"ALB",1995,50.5,1.31
"ALB",1996,43.3,1.15
"ALB",1997,38.2,1.1
"ALB",1998,27.9,0.83
"ALB",1999,22.6,0.69
"ALB",2000,22.6,0.7
"ALB",2001,23.9,0.78
"ALB",2002,18.8,0.64
"ALB",2003,17.1,0.61
"ALB",2004,15,0.55
"ALB",2005,14.7,0.55
"ALB",2006,13.8,0.55
"ALB",2007,12.2,0.5
"ALB",2008,13.1,0.54
"ALB",2009,14.1,0.6
"ALB",2010,15.1,0.67
"ALB",2011,14.6,0.66
"ALB",2012,14.1,0.66
"ALG",1962,NA,NA
"ALG",1963,137.5,1.22
"ALG",1964,133.8,1.18
"ALG",1965,130.2,1.16
"ALG",1966,126.6,1.16
"ALG",1967,123,1.19
"ALG",1968,119.4,1.16
"ALG",1969,115.7,1.15
"ALG",1970,112.1,1.15
"ALG",1971,108.5,1.15
"ALG",1972,104.9,1.19
"ALG",1973,101.3,1.18
"ALG",1974,97.7,1.18
"ALG",1975,94,1.16
"ALG",1976,90.4,1.08
"ALG",1977,86.8,1.07
"ALG",1978,83.2,1.1
"ALG",1979,79.6,1.1
"ALG",1980,75.9,1.11
"ALG",1981,72.3,1.12
"ALG",1982,68.7,1.12
"ALG",1983,65.1,1.11
"ALG",1984,61.5,1.08
"ALG",1985,57.9,1.04
"ALG",1986,54.2,1.03
"ALG",1987,50.6,0.99
"ALG",1988,47.4,0.95
"ALG",1989,44.3,0.95
"ALG",1990,44.5,0.99
"ALG",1991,42.5,0.96
"ALG",1992,41.6,1.01
"ALG",1993,42.9,1.05
"ALG",1994,40.9,1.02
"ALG",1995,39.4,1.02
"ALG",1996,38.8,1.03
"ALG",1997,41.9,1.21
"ALG",1998,38.1,1.14
"ALG",1999,40.9,1.26
"ALG",2000,38.5,1.2
"ALG",2001,40,1.31
"ALG",2002,35.8,1.21
"ALG",2003,35.5,1.25
"ALG",2004,32.7,1.19
"ALG",2005,32.9,1.23
"ALG",2006,29,1.16
"ALG",2007,27.8,1.13
"ALG",2008,26.7,1.1
"ALG",2009,26,1.11
"ALG",2010,25.2,1.11
"ALG",2011,24.3,1.1
"ALG",2012,23.4,1.1
"ANG",1975,NA,NA
"ANG",1976,159.3,1.9
"ANG",1977,155.5,1.92
"ANG",1978,156.1,2.06
"ANG",1979,155.9,2.15
"ANG",1980,155.6,2.27
"ANG",1981,156.2,2.41
"ANG",1982,156,2.55
"ANG",1983,155.8,2.65
"ANG",1984,156,2.74
"ANG",1985,156.1,2.81
"ANG",1986,156,2.96
"ANG",1987,156.1,3.05
"ANG",1988,156.2,3.15
"ANG",1989,156.3,3.34
"ANG",1990,156.4,3.47
"ANG",1991,156.5,3.53
"ANG",1992,156.7,3.79
"ANG",1993,156.9,3.85
"ANG",1994,157.1,3.93
"ANG",1995,141.2,3.66
"ANG",1996,126.8,3.37
"ANG",1997,113.8,3.28
"ANG",1998,102,3.04
"ANG",1999,105.3,3.23
"ANG",2000,108.7,3.37
"ANG",2001,110.4,3.61
"ANG",2002,112,3.8
"ANG",2003,104.7,3.7
"ANG",2004,97.9,3.57
"ANG",2005,96.2,3.6
"ANG",2006,94.4,3.79
"ANG",2007,92.5,3.77
"ANG",2008,90.7,3.74
"ANG",2009,88.9,3.79
"ANG",2010,87.2,3.85
"ANG",2011,85.3,3.87
"ANG",2012,83.5,3.93
"ARG",1955,62,0.63
"ARG",1956,57,0.59
"ARG",1957,68,0.71
"ARG",1958,61,0.67
"ARG",1959,59,0.65
"ARG",1960,62,0.63
"ARG",1961,59,0.5
"ARG",1962,59,0.51
"ARG",1963,62,0.55
"ARG",1964,58,0.51
"ARG",1965,57,0.51
"ARG",1966,53,0.49
"ARG",1967,55,0.53
"ARG",1968,60,0.58
"ARG",1969,52,0.52
"ARG",1970,59,0.61
"ARG",1971,62,0.66
"ARG",1972,57,0.64
"ARG",1973,55,0.64
"ARG",1974,49,0.59
"ARG",1975,43,0.53
"ARG",1976,46,0.55
"ARG",1977,44,0.54
"ARG",1978,40,0.53
"ARG",1979,36,0.5
"ARG",1980,32.3,0.47
"ARG",1981,32.1,0.49
"ARG",1982,29.8,0.49
"ARG",1983,29.3,0.5
"ARG",1984,29.2,0.51
"ARG",1985,26,0.47
"ARG",1986,26.7,0.51
"ARG",1987,25.7,0.5
"ARG",1988,25.3,0.51
"ARG",1989,24.7,0.53
"ARG",1990,25.1,0.56
"ARG",1991,24.8,0.56
"ARG",1992,22.8,0.55
"ARG",1993,22.4,0.55
"ARG",1994,21.6,0.54
"ARG",1995,21.4,0.56
"ARG",1996,20.7,0.55
"ARG",1997,20.1,0.58
"ARG",1998,18.5,0.55
"ARG",1999,18.9,0.58
"ARG",2000,18.1,0.56
"ARG",2001,17.5,0.57
"ARG",2002,17.1,0.58
"ARG",2003,16.3,0.58
"ARG",2004,14.4,0.53
"ARG",2005,12.9,0.48
"ARG",2006,12.5,0.5
"ARG",2007,12.1,0.49
"ARG",2008,11.8,0.49
"ARG",2009,11.4,0.49
"ARG",2010,11.1,0.49
"ARG",2011,10.8,0.49
"ARG",2012,10.5,0.5
"ARM",1991,NA,NA
"ARM",1992,33.7,0.81
"ARM",1993,29.6,0.73
"ARM",1994,25.7,0.64
"ARM",1995,25.3,0.65
"ARM",1996,28,0.74
"ARM",1997,26.7,0.77
"ARM",1998,25.3,0.75
"ARM",1999,27.3,0.84
"ARM",2000,27.7,0.86
"ARM",2001,27,0.88
"ARM",2002,26,0.88
"ARM",2003,25.1,0.89
"ARM",2004,24.2,0.88
"ARM",2005,23.3,0.87
"ARM",2006,22.5,0.9
"ARM",2007,21.7,0.88
"ARM",2008,20.9,0.86
"ARM",2009,20.2,0.86
"ARM",2010,19.5,0.86
"ARM",2011,18.9,0.85
"ARM",2012,18.2,0.86
"AUL",1955,22,0.22
"AUL",1956,21.7,0.22
"AUL",1957,21.4,0.22
"AUL",1958,20.5,0.23
"AUL",1959,21.5,0.24
"AUL",1960,20.2,0.21
"AUL",1961,19.5,0.16
"AUL",1962,20.4,0.18
"AUL",1963,19.6,0.17
"AUL",1964,19.1,0.17
"AUL",1965,18.5,0.16
"AUL",1966,18.7,0.17
"AUL",1967,18.3,0.18
"AUL",1968,17.8,0.17
"AUL",1969,17.9,0.18
"AUL",1970,17.9,0.18
"AUL",1971,17.3,0.18
"AUL",1972,16.7,0.19
"AUL",1973,16.5,0.19
"AUL",1974,16.1,0.2
"AUL",1975,14.3,0.18
"AUL",1976,13.8,0.16
"AUL",1977,12.5,0.15
"AUL",1978,12.2,0.16
"AUL",1979,11.4,0.16
"AUL",1980,10.7,0.16
"AUL",1981,10,0.15
"AUL",1982,10.3,0.17
"AUL",1983,9.6,0.16
"AUL",1984,9.2,0.16
"AUL",1985,10,0.18
"AUL",1986,8.9,0.17
"AUL",1987,8.7,0.17
"AUL",1988,8.7,0.17
"AUL",1989,8,0.17
"AUL",1990,8.3,0.19
"AUL",1991,7.1,0.16
"AUL",1992,7.1,0.17
"AUL",1993,6.1,0.15
"AUL",1994,5.8,0.15
"AUL",1995,5.6,0.15
"AUL",1996,5.7,0.15
"AUL",1997,5.3,0.15
"AUL",1998,5,0.15
"AUL",1999,5.6,0.17
"AUL",2000,5.2,0.16
"AUL",2001,5.3,0.17
"AUL",2002,5.1,0.17
"AUL",2003,4.8,0.17
"AUL",2004,4.7,0.17
"AUL",2005,5.1,0.19
"AUL",2006,5,0.2
"AUL",2007,4.9,0.2
"AUL",2008,4.8,0.2
"AUL",2009,4.8,0.2
"AUL",2010,4.7,0.21
"AUL",2011,4.6,0.21
"AUL",2012,4.6,0.21
"AUS",1955,45.6,0.46
"AUS",1956,43.3,0.45
"AUS",1957,44.2,0.46
"AUS",1958,40.7,0.45
"AUS",1959,39.8,0.44
"AUS",1960,37.5,0.38
"AUS",1961,32.7,0.28
"AUS",1962,32.8,0.28
"AUS",1963,31.3,0.28
"AUS",1964,29.2,0.26
"AUS",1965,28.3,0.25
"AUS",1966,28.1,0.26
"AUS",1967,26.4,0.26
"AUS",1968,25.5,0.25
"AUS",1969,25.4,0.25
"AUS",1970,25.9,0.27
"AUS",1971,26.1,0.28
"AUS",1972,25.2,0.29
"AUS",1973,23.8,0.28
"AUS",1974,23.5,0.28
"AUS",1975,20.5,0.25
"AUS",1976,18.2,0.22
"AUS",1977,16.8,0.21
"AUS",1978,15,0.2
"AUS",1979,14.7,0.2
"AUS",1980,14.3,0.21
"AUS",1981,12.7,0.2
"AUS",1982,12.8,0.21
"AUS",1983,11.9,0.2
"AUS",1984,11.4,0.2
"AUS",1985,11.2,0.2
"AUS",1986,10.3,0.2
"AUS",1987,9.8,0.19
"AUS",1988,8.1,0.16
"AUS",1989,8.3,0.18
"AUS",1990,7.8,0.17
"AUS",1991,7.6,0.17
"AUS",1992,7.5,0.18
"AUS",1993,6.5,0.16
"AUS",1994,6.1,0.15
"AUS",1995,5.3,0.14
"AUS",1996,5.1,0.14
"AUS",1997,4.6,0.13
"AUS",1998,4.8,0.14
"AUS",1999,4.3,0.13
"AUS",2000,4.8,0.15
"AUS",2001,4.7,0.15
"AUS",2002,4.7,0.16
"AUS",2003,4.7,0.17
"AUS",2004,4.7,0.17
"AUS",2005,4.7,0.17
"AUS",2006,4.6,0.18
"AUS",2007,4.5,0.18
"AUS",2008,4.5,0.18
"AUS",2009,4.4,0.19
"AUS",2010,4.4,0.19
"AUS",2011,4.3,0.2
"AUS",2012,4.3,0.2
"AZE",1991,NA,NA
"AZE",1992,76.1,1.84
"AZE",1993,84.1,2.06
"AZE",1994,75.4,1.89
"AZE",1995,69.2,1.79
"AZE",1996,59.5,1.58
"AZE",1997,59.5,1.71
"AZE",1998,47.8,1.43
"AZE",1999,45.6,1.4
"AZE",2000,45.6,1.42
"AZE",2001,47,1.53
"AZE",2002,46.6,1.58
"AZE",2003,41.9,1.48
"AZE",2004,44,1.6
"AZE",2005,32.5,1.22
"AZE",2006,36.3,1.46
"AZE",2007,32.9,1.34
"AZE",2008,31.9,1.31
"AZE",2009,32.2,1.37
"AZE",2010,31,1.37
"AZE",2011,29.9,1.35
"AZE",2012,28.8,1.35
"BAH",1971,NA,NA
"BAH",1972,64.4,0.73
"BAH",1973,61,0.71
"BAH",1974,58,0.7
"BAH",1975,54.9,0.68
"BAH",1976,51.9,0.62
"BAH",1977,48.8,0.6
"BAH",1978,45.8,0.6
"BAH",1979,43.5,0.6
"BAH",1980,41.3,0.6
"BAH",1981,38.7,0.6
"BAH",1982,36.8,0.6
"BAH",1983,34.9,0.59
"BAH",1984,33.2,0.58
"BAH",1985,31.7,0.57
"BAH",1986,30.1,0.57
"BAH",1987,29,0.57
"BAH",1988,27.7,0.56
"BAH",1989,26.3,0.56
"BAH",1990,25.1,0.56
"BAH",1991,24.1,0.54
"BAH",1992,23.1,0.56
"BAH",1993,21.8,0.53
"BAH",1994,20.6,0.51
"BAH",1995,19.7,0.51
"BAH",1996,18.9,0.5
"BAH",1997,18.2,0.52
"BAH",1998,18,0.54
"BAH",1999,16.3,0.5
"BAH",2000,15.7,0.49
"BAH",2001,15.3,0.5
"BAH",2002,15.1,0.51
"BAH",2003,14.6,0.51
"BAH",2004,14.1,0.51
"BAH",2005,13.2,0.49
"BAH",2006,12.4,0.5
"BAH",2007,11.3,0.46
"BAH",2008,11.3,0.47
"BAH",2009,11,0.47
"BAH",2010,10.7,0.47
"BAH",2011,10.4,0.47
"BAH",2012,10.2,0.48
