"sftgcode","year","pol.democ","pol.autoc","pol.polity","pol.polity2","pol.durable","pol.xrreg","pol.xrcomp","pol.xropen","pol.xconst","pol.parreg","pol.parcomp","pol.exrec","pol.exconst","pol.polcomp"
"AFG",1945,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1946,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1947,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1948,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1949,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1950,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1951,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1952,0,10,-10,-10,NA,3,1,1,1,4,1,1,1,1
"AFG",1953,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1954,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1955,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1956,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1957,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1958,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1959,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1960,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1961,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1962,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1963,0,10,-10,-10,NA,3,1,2,1,4,1,2,1,1
"AFG",1964,0,7,-7,-7,0,3,1,2,3,4,2,2,3,2
"AFG",1965,0,7,-7,-7,1,3,1,2,3,4,2,2,3,2
"AFG",1966,0,7,-7,-7,2,3,1,2,3,4,2,2,3,2
"AFG",1967,0,7,-7,-7,3,3,1,2,3,4,2,2,3,2
"AFG",1968,0,7,-7,-7,4,3,1,2,3,4,2,2,3,2
"AFG",1969,0,7,-7,-7,5,3,1,2,3,4,2,2,3,2
"AFG",1970,0,7,-7,-7,6,3,1,2,3,4,2,2,3,2
"AFG",1971,0,7,-7,-7,7,3,1,2,3,4,2,2,3,2
"AFG",1972,0,7,-7,-7,8,3,1,2,3,4,2,2,3,2
"AFG",1973,0,7,-7,-7,9,1,0,0,1,4,1,4,1,1
"AFG",1974,0,7,-7,-7,10,1,0,0,1,4,1,4,1,1
"AFG",1975,0,7,-7,-7,11,1,0,0,1,4,1,4,1,1
"AFG",1976,0,7,-7,-7,12,1,0,0,1,4,1,4,1,1
"AFG",1977,0,7,-7,-7,13,2,0,0,1,4,1,5,1,1
"AFG",1978,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77
"AFG",1979,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1980,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1981,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1982,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1983,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1984,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1985,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1986,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1987,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1988,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",1989,0,8,-8,-8,0,2,1,4,2,4,1,3,2,1
"AFG",1990,0,8,-8,-8,1,2,1,4,2,4,1,3,2,1
"AFG",1991,0,8,-8,-8,2,2,1,4,2,4,1,3,2,1
"AFG",1992,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77
"AFG",1993,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77
"AFG",1994,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77
"AFG",1995,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77
"AFG",1996,0,7,-7,-7,0,1,0,0,1,4,1,4,1,1
"AFG",1997,0,7,-7,-7,1,1,0,0,1,4,1,4,1,1
"AFG",1998,0,7,-7,-7,2,1,0,0,1,4,1,4,1,1
"AFG",1999,0,7,-7,-7,3,1,0,0,1,4,1,4,1,1
"AFG",2000,0,7,-7,-7,4,1,0,0,1,4,1,4,1,1
"AFG",2001,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2002,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2003,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2004,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2005,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2006,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2007,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2008,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2009,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2010,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2011,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2012,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2013,-66,-66,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66
"AFG",2014,1,2,-1,-1,0,2,1,4,4,1,0,3,4,4
"ALB",1945,-88,-88,-88,-5,0,-88,-88,-88,-88,-88,-88,-88,-88,-88
"ALB",1946,0,9,-9,-9,0,2,1,4,1,4,1,3,1,1
"ALB",1947,0,9,-9,-9,0,2,1,4,1,4,1,3,1,1
"ALB",1948,0,9,-9,-9,1,2,1,4,1,4,1,3,1,1
"ALB",1949,0,9,-9,-9,2,2,1,4,1,4,1,3,1,1
"ALB",1950,0,9,-9,-9,3,2,1,4,1,4,1,3,1,1
"ALB",1951,0,9,-9,-9,4,2,1,4,1,4,1,3,1,1
"ALB",1952,0,9,-9,-9,5,2,1,4,1,4,1,3,1,1
"ALB",1953,0,9,-9,-9,6,2,1,4,1,4,1,3,1,1
"ALB",1954,0,9,-9,-9,7,2,1,4,1,4,1,3,1,1
"ALB",1955,0,9,-9,-9,8,2,1,4,1,4,1,3,1,1
"ALB",1956,0,9,-9,-9,9,2,1,4,1,4,1,3,1,1
"ALB",1957,0,9,-9,-9,10,2,1,4,1,4,1,3,1,1
"ALB",1958,0,9,-9,-9,11,2,1,4,1,4,1,3,1,1
"ALB",1959,0,9,-9,-9,12,2,1,4,1,4,1,3,1,1
"ALB",1960,0,9,-9,-9,13,2,1,4,1,4,1,3,1,1
"ALB",1961,0,9,-9,-9,14,2,1,4,1,4,1,3,1,1
"ALB",1962,0,9,-9,-9,15,2,1,4,1,4,1,3,1,1
"ALB",1963,0,9,-9,-9,16,2,1,4,1,4,1,3,1,1
"ALB",1964,0,9,-9,-9,17,2,1,4,1,4,1,3,1,1
"ALB",1965,0,9,-9,-9,18,2,1,4,1,4,1,3,1,1
"ALB",1966,0,9,-9,-9,19,2,1,4,1,4,1,3,1,1
"ALB",1967,0,9,-9,-9,20,2,1,4,1,4,1,3,1,1
"ALB",1968,0,9,-9,-9,21,2,1,4,1,4,1,3,1,1
"ALB",1969,0,9,-9,-9,22,2,1,4,1,4,1,3,1,1
"ALB",1970,0,9,-9,-9,23,2,1,4,1,4,1,3,1,1
"ALB",1971,0,9,-9,-9,24,2,1,4,1,4,1,3,1,1
"ALB",1972,0,9,-9,-9,25,2,1,4,1,4,1,3,1,1
"ALB",1973,0,9,-9,-9,26,2,1,4,1,4,1,3,1,1
"ALB",1974,0,9,-9,-9,27,2,1,4,1,4,1,3,1,1
"ALB",1975,0,9,-9,-9,28,2,1,4,1,4,1,3,1,1
"ALB",1976,0,9,-9,-9,29,2,1,4,1,4,1,3,1,1
"ALB",1977,0,9,-9,-9,30,2,1,4,1,4,1,3,1,1
"ALB",1978,0,9,-9,-9,31,2,1,4,1,4,1,3,1,1
"ALB",1979,0,9,-9,-9,32,2,1,4,1,4,1,3,1,1
"ALB",1980,0,9,-9,-9,33,2,1,4,1,4,1,3,1,1
"ALB",1981,0,9,-9,-9,34,2,1,4,1,4,1,3,1,1
"ALB",1982,0,9,-9,-9,35,2,1,4,1,4,1,3,1,1
"ALB",1983,0,9,-9,-9,36,2,1,4,1,4,1,3,1,1
"ALB",1984,0,9,-9,-9,37,2,1,4,1,4,1,3,1,1
"ALB",1985,0,9,-9,-9,38,2,1,4,1,4,1,3,1,1
"ALB",1986,0,9,-9,-9,39,2,1,4,1,4,1,3,1,1
"ALB",1987,0,9,-9,-9,40,2,1,4,1,4,1,3,1,1
"ALB",1988,0,9,-9,-9,41,2,1,4,1,4,1,3,1,1
"ALB",1989,0,9,-9,-9,42,2,1,4,1,4,1,3,1,1
"ALB",1990,3,2,1,1,0,2,2,4,3,3,3,7,3,6
"ALB",1991,3,2,1,1,0,2,2,4,3,3,3,7,3,6
"ALB",1992,6,1,5,5,0,3,3,4,5,3,3,8,5,6
"ALB",1993,6,1,5,5,1,3,3,4,5,3,3,8,5,6
"ALB",1994,6,1,5,5,2,3,3,4,5,3,3,8,5,6
"ALB",1995,6,1,5,5,3,3,3,4,5,3,3,8,5,6
"ALB",1996,3,3,0,0,0,2,1,4,5,3,3,3,5,6
"ALB",1997,6,1,5,5,0,2,2,4,5,3,4,7,5,8
"ALB",1998,6,1,5,5,1,2,2,4,5,3,4,7,5,8
"ALB",1999,6,1,5,5,2,2,2,4,5,3,4,7,5,8
"ALB",2000,6,1,5,5,3,2,2,4,5,3,4,7,5,8
"ALB",2001,6,1,5,5,4,2,2,4,5,3,4,7,5,8
"ALB",2002,7,0,7,7,5,2,2,4,6,2,4,7,6,9
"ALB",2003,7,0,7,7,6,2,2,4,6,2,4,7,6,9
"ALB",2004,7,0,7,7,7,2,2,4,6,2,4,7,6,9
"ALB",2005,9,0,9,9,8,3,3,4,7,2,4,8,7,9
"ALB",2006,9,0,9,9,9,3,3,4,7,2,4,8,7,9
"ALB",2007,9,0,9,9,10,3,3,4,7,2,4,8,7,9
"ALB",2008,9,0,9,9,11,3,3,4,7,2,4,8,7,9
"ALB",2009,9,0,9,9,12,3,3,4,7,2,4,8,7,9
"ALB",2010,9,0,9,9,13,3,3,4,7,2,4,8,7,9
"ALB",2011,9,0,9,9,14,3,3,4,7,2,4,8,7,9
"ALB",2012,9,0,9,9,15,3,3,4,7,2,4,8,7,9
"ALB",2013,9,0,9,9,16,3,3,4,7,2,4,8,7,9
"ALB",2014,9,0,9,9,17,3,3,4,7,2,4,8,7,9
"ALG",1962,0,8,-8,-8,0,2,1,4,2,4,1,3,2,1
"ALG",1963,0,8,-8,-8,1,2,1,4,2,4,1,3,2,1
"ALG",1964,0,8,-8,-8,2,2,1,4,2,4,1,3,2,1
"ALG",1965,0,9,-9,-9,3,2,1,4,1,4,1,3,1,1
"ALG",1966,0,9,-9,-9,4,2,1,4,1,4,1,3,1,1
"ALG",1967,0,9,-9,-9,5,2,1,4,1,4,1,3,1,1
"ALG",1968,0,9,-9,-9,6,2,1,4,1,4,1,3,1,1
"ALG",1969,0,9,-9,-9,7,2,1,4,1,4,1,3,1,1
"ALG",1970,0,9,-9,-9,8,2,1,4,1,4,1,3,1,1
"ALG",1971,0,9,-9,-9,9,2,1,4,1,4,1,3,1,1
"ALG",1972,0,9,-9,-9,10,2,1,4,1,4,1,3,1,1
"ALG",1973,0,9,-9,-9,11,2,1,4,1,4,1,3,1,1
"ALG",1974,0,9,-9,-9,12,2,1,4,1,4,1,3,1,1
"ALG",1975,0,9,-9,-9,13,2,1,4,1,4,1,3,1,1
"ALG",1976,0,9,-9,-9,14,2,1,4,1,4,1,3,1,1
"ALG",1977,0,9,-9,-9,15,2,1,4,1,4,1,3,1,1
"ALG",1978,0,9,-9,-9,16,2,1,4,1,4,1,3,1,1
"ALG",1979,0,9,-9,-9,17,2,1,4,1,4,1,3,1,1
"ALG",1980,0,9,-9,-9,18,2,1,4,1,4,1,3,1,1
"ALG",1981,0,9,-9,-9,19,2,1,4,1,4,1,3,1,1
"ALG",1982,0,9,-9,-9,20,2,1,4,1,4,1,3,1,1
"ALG",1983,0,9,-9,-9,21,2,1,4,1,4,1,3,1,1
"ALG",1984,0,9,-9,-9,22,2,1,4,1,4,1,3,1,1
"ALG",1985,0,9,-9,-9,23,2,1,4,1,4,1,3,1,1
"ALG",1986,0,9,-9,-9,24,2,1,4,1,4,1,3,1,1
"ALG",1987,0,9,-9,-9,25,2,1,4,1,4,1,3,1,1
"ALG",1988,0,9,-9,-9,26,2,1,4,1,4,1,3,1,1
"ALG",1989,1,3,-2,-2,0,2,1,4,3,2,3,3,3,7
"ALG",1990,1,3,-2,-2,1,2,1,4,3,2,3,3,3,7
"ALG",1991,1,3,-2,-2,2,2,1,4,3,2,3,3,3,7
"ALG",1992,0,7,-7,-7,0,2,0,0,1,4,1,5,1,1
"ALG",1993,0,7,-7,-7,1,2,0,0,1,4,1,5,1,1
"ALG",1994,0,7,-7,-7,2,2,0,0,1,4,1,5,1,1
"ALG",1995,1,4,-3,-3,0,2,1,4,3,3,3,3,3,6
"ALG",1996,1,4,-3,-3,1,2,1,4,3,3,3,3,3,6
"ALG",1997,1,4,-3,-3,2,2,1,4,3,3,3,3,3,6
"ALG",1998,1,4,-3,-3,3,2,1,4,3,3,3,3,3,6
"ALG",1999,1,4,-3,-3,4,2,1,4,3,3,3,3,3,6
"ALG",2000,1,4,-3,-3,5,2,1,4,3,3,3,3,3,6
"ALG",2001,1,4,-3,-3,6,2,1,4,3,3,3,3,3,6
"ALG",2002,1,4,-3,-3,7,2,1,4,3,3,3,3,3,6
"ALG",2003,1,4,-3,-3,8,2,1,4,3,3,3,3,3,6
"ALG",2004,3,1,2,2,0,2,0,0,5,3,3,5,5,6
"ALG",2005,3,1,2,2,1,2,0,0,5,3,3,5,5,6
"ALG",2006,3,1,2,2,2,2,0,0,5,3,3,5,5,6
"ALG",2007,3,1,2,2,3,2,0,0,5,3,3,5,5,6
"ALG",2008,3,1,2,2,4,2,0,0,5,3,3,5,5,6
"ALG",2009,3,1,2,2,5,2,0,0,5,3,3,5,5,6
"ALG",2010,3,1,2,2,6,2,0,0,5,3,3,5,5,6
"ALG",2011,3,1,2,2,7,2,0,0,5,3,3,5,5,6
"ALG",2012,3,1,2,2,8,2,0,0,5,3,3,5,5,6
"ALG",2013,3,1,2,2,9,2,0,0,5,3,3,5,5,6
"ALG",2014,3,1,2,2,10,2,0,0,5,3,3,5,5,6
"ANG",1975,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1
"ANG",1976,0,7,-7,-7,1,2,1,4,3,4,1,3,3,1
"ANG",1977,0,7,-7,-7,2,2,1,4,3,4,1,3,3,1
"ANG",1978,0,7,-7,-7,3,2,1,4,3,4,1,3,3,1
"ANG",1979,0,7,-7,-7,4,2,1,4,3,4,1,3,3,1
"ANG",1980,0,7,-7,-7,5,2,1,4,3,4,1,3,3,1
"ANG",1981,0,7,-7,-7,6,2,1,4,3,4,1,3,3,1
"ANG",1982,0,7,-7,-7,7,2,1,4,3,4,1,3,3,1
"ANG",1983,0,7,-7,-7,8,2,1,4,3,4,1,3,3,1
"ANG",1984,0,7,-7,-7,9,2,1,4,3,4,1,3,3,1
"ANG",1985,0,7,-7,-7,10,2,1,4,3,4,1,3,3,1
"ANG",1986,0,7,-7,-7,11,2,1,4,3,4,1,3,3,1
"ANG",1987,0,7,-7,-7,12,2,1,4,3,4,1,3,3,1
"ANG",1988,0,7,-7,-7,13,2,1,4,3,4,1,3,3,1
"ANG",1989,0,7,-7,-7,14,2,1,4,3,4,1,3,3,1
"ANG",1990,0,7,-7,-7,15,2,1,4,3,4,1,3,3,1
"ANG",1991,-88,-88,-88,-3,0,-88,-88,-88,-88,-88,-88,-88,-88,-88
"ANG",1992,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77
